,image domain,model,accuracy corr,accuracy corr std,human accuracy ceiling,model accuracy ceiling,dprime corr,dprime corr std,human dprime ceiling,model dprime ceiling,accnorm corr,accnorm corr std,dpnorm corr,dpnorm corr std
0,edges,alexnet,0.1734794789452237,0.0606414198042874,0.6815771384848986,0.9920228050845064,0.2798724025497813,0.0444955286592113,0.6557130821164314,0.9770068786451824,0.21097440639097345,0.0737481321923673,0.34966675333428393,0.05559178719449328
1,edges,resnet18,0.1638549756435102,0.0710738337778268,0.6815771384848986,0.9700693113087844,0.2632229696313229,0.0532344958154874,0.6557130821164314,0.7718291393125865,0.20151192117198907,0.08740793334703809,0.3700038771402415,0.0748299811256001
2,edges,resnet34,0.2006314212527427,0.0364783815291742,0.6815771384848986,0.9784561691715254,0.2059809054389913,0.0444437232418633,0.6557130821164314,0.9355664972082984,0.24568053791680072,0.04466911683355925,0.26298604754653243,0.056743507796121605
3,edges,resnet50,0.2119788868212776,0.0452204666841376,0.6815771384848986,0.9829535744334578,0.2028342933058229,0.0417018957420824,0.6557130821164314,0.8925722122178797,0.25898141333510416,0.05524729631873611,0.26513238468852623,0.054510126882046324
4,edges,resnet101,0.2274230014073623,0.0404542776816483,0.6815771384848986,0.9627399245089872,0.1991445807600994,0.0471472056938944,0.6557130821164314,0.8139416966287463,0.2807516958633601,0.04994045014693206,0.2725931384901693,0.06453605075310834
5,edges,vgg11,0.1604406584399343,0.0543745299850197,0.6815771384848986,0.9859194731475366,0.1518913673492063,0.0456907389329387,0.6557130821164314,0.8815459610932892,0.1957204501376944,0.06633111324881431,0.19978077223877913,0.06009644436998771
6,edges,vgg13,0.1701293689106692,0.0652152144748148,0.6815771384848986,0.9781257678124812,0.2271065859501413,0.0516135340247025,0.6557130821164314,0.8737156804412518,0.20836483838040068,0.07987190989418749,0.30004592957329496,0.06819014398113765
7,edges,vgg16,0.1280139737015488,0.079804382714847,0.6815771384848986,0.9980297121560826,0.1784806654468791,0.0577270802960566,0.6557130821164314,0.9015978478608636,0.15521301530030573,0.09676036542877146,0.23212815477778806,0.07507861199576864
8,edges,vgg19,0.1888938392138379,0.0357735965656501,0.6815771384848986,0.995529711260642,0.2059430080383026,0.0457031182129489,0.6557130821164314,0.955500687783804,0.2293153745701413,0.04342881552048104,0.26018042912619105,0.057739551453179265
9,edges,densenet121,0.2428294125905953,0.0375334723141912,0.6815771384848986,0.9724314634865724,0.2557357332908033,0.0451771069704663,0.6557130821164314,0.8961038935184803,0.2982732324329776,0.04610327057234363,0.3336224818350639,0.058936224342478895
10,edges,densenet169,0.2356537126649469,0.0384463378425324,0.6815771384848986,0.9491069680011558,0.2511026876101498,0.0458014637824857,0.6557130821164314,0.8782968652239566,0.29299431784960744,0.047801320007227345,0.33088247877810173,0.060353403670227165
11,silhouette,alexnet,0.5394366189084954,0.0411031304294599,0.8277379133715534,0.978652810672432,0.5273740220398756,0.0571177249635865,0.6228299782658557,0.9052508545728276,0.5993488505802569,0.04566822702543675,0.7023434026420907,0.07606794348142383
12,silhouette,resnet18,0.5156406873195593,0.0376449085517841,0.8277379133715534,0.973857134490242,0.5229355625262351,0.0469994688083089,0.6228299782658557,0.9137956458590694,0.5743189278071458,0.04192877724456986,0.6931685996907152,0.06229936977833382
13,silhouette,resnet34,0.5477262433230083,0.0389382796779331,0.8277379133715534,0.9613313480889508,0.5702864566330925,0.0464869974542324,0.6228299782658557,0.8633807786628254,0.6140172520436175,0.04365095844613509,0.7776910770243822,0.06339362034170014
14,silhouette,resnet50,0.5132362713454447,0.0390191624939316,0.8277379133715534,0.9842731151765648,0.5351260340687032,0.053866032142131,0.6228299782658557,0.9500965670393172,0.5686081834964793,0.043228852569336874,0.6956446534928801,0.0700239100303952
15,silhouette,resnet101,0.5544686397189085,0.0377674026853053,0.8277379133715534,0.9785814908995868,0.5552756023083131,0.0486015998594752,0.6228299782658557,0.9222961179761884,0.6160728432268804,0.041963547596535214,0.7326366620906001,0.06412547885282048
16,silhouette,vgg11,0.4383297738149923,0.0350643340145339,0.8277379133715534,0.9752359694297412,0.4740403983774834,0.0503283492061348,0.6228299782658557,0.8944266245588832,0.487865033171127,0.039026923332715104,0.6351235862345377,0.06743037459775872
17,silhouette,vgg13,0.5042038051112439,0.0339403176360064,0.8277379133715534,0.981525608550181,0.5392491521757403,0.0467468164983302,0.6228299782658557,0.9134967788364928,0.559382502350357,0.0376546539659818,0.7149097282119351,0.06197460625158852
18,silhouette,vgg16,0.4867866760146261,0.0406402737481,0.8277379133715534,0.9902149188436216,0.538149298493212,0.0411081559905513,0.6228299782658557,0.9835425100272104,0.5376845109304418,0.04488957235483138,0.68757718364283,0.05252265532980142
19,silhouette,vgg19,0.4569847989864958,0.0475602680491549,0.8277379133715534,0.988698104273708,0.5117588404053505,0.0444848526088794,0.6228299782658557,0.9626303294909444,0.505153631443581,0.05257339449965091,0.6609229447908559,0.05745100516790285
