,image domain,model,accuracy corr,accuracy corr std,human accuracy ceiling,model accuracy ceiling,dprime corr,dprime corr std,human dprime ceiling,model dprime ceiling,accnorm corr,accnorm corr std,dpnorm corr,dpnorm corr std
0,edges,alexnet,-0.0214447539513572,0.0641661384289118,0.5956143677537183,1,0.0740279607074118,0.0571639657045511,0.5510900158543656,1,-0.027786796784827556,0.08314254633257033,0.09972051536303912,0.0770036087145947
1,edges,resnet18,0.0280500557357927,0.0627094287985821,0.5956143677537183,1,0.0755015311106632,0.0579443343007058,0.5510900158543656,1,0.036345541678934966,0.08125503134572148,0.10170551128392823,0.07805481636421846
2,edges,resnet34,0.0815046159219696,0.0664316532145691,0.5956143677537183,1,0.0752913281385293,0.0523299824099987,0.5510900158543656,1,0.10560868195486374,0.08607806142893717,0.10142235410234811,0.0704919163650738
3,edges,resnet50,0.033096976157982,0.0299530197407468,0.5956143677537183,1,0.0691280304750806,0.0404103925780886,0.5510900158543656,1,0.042885031592350124,0.038811285711925124,0.0931199881657246,0.05443544757145069
4,edges,resnet101,0.0043279636811213,0.0571380666894602,0.5956143677537183,1,-0.0210679006800374,0.052880836030958,0.5510900158543656,1,0.005607909867943284,0.07403600206275501,-0.028379843147837872,0.0712339522991551
5,edges,vgg11,0.011805635102718,0.0702083303812631,0.5956143677537183,1,0.0033803278580151,0.0582039460003542,0.5510900158543656,1,0.015297017828189667,0.09097164804647832,0.004553523194156477,0.07840453034034074
6,edges,vgg13,0.0032161895145202,0.0884835790698783,0.5956143677537183,1,0.0582239867517024,0.0650554160530481,0.5510900158543656,1,0.00416734109722952,0.11465159432399663,0.07843152654601232,0.08763390959272177
7,edges,vgg16,-0.0086991035041288,0.0950332535266541,0.5956143677537183,1,0.0470089399632858,0.063890927789607,0.5510900158543656,1,-0.011271764732190374,0.12313826073900982,0.06332412341246191,0.08606526757347822
8,edges,vgg19,0.0800388712382626,0.0900579249109092,0.5956143677537183,1,0.0934274059156673,0.0595930774135402,0.5510900158543656,1,0.10370945990004365,0.11669153509706368,0.12585283962859992,0.08027578140691276
9,edges,densenet121,0.0643901834233367,0.0627412429242328,0.5956143677537183,1,0.0184660406208915,0.055543625575868,0.5510900158543656,1,0.08343285009380086,0.0812962541383144,0.02487496710477055,0.07482090435327472
10,edges,densenet169,0.0689025866333104,0.047591235314255,0.5956143677537183,1,0.0735709854473356,0.0482465065128903,0.5510900158543656,1,0.08927974539001887,0.061665803553433624,0.0991049397344862,0.06499120667320966
11,silhouette,alexnet,0.1243223697182129,0.0617854984212759,0.7179606087145742,1,0.0856071673065976,0.0749380068224106,0.4129089699833499,1,0.14672326108575096,0.0729182514516538,0.13322415304685553,0.11662052143577605
12,silhouette,resnet18,0.1941130215601522,0.0542944911360599,0.7179606087145742,1,0.1934496643816338,0.0742412961521297,0.4129089699833499,1,0.22908906584606262,0.06407748514229834,0.30105151829332166,0.11553628174081622
13,silhouette,resnet34,0.2581939110900038,0.0629882286922028,0.7179606087145742,1,0.2497333473047488,0.0707960923302423,0.4129089699833499,1,0.3047163009639771,0.07433769437215897,0.38864168420705675,0.11017476382490493
