,accuracy,dprime
airplane,0.04289210406539492,0.3791484501833089
bear,0.09355086537630991,0.6138266513866242
bicycle,0.2682991440384649,1.015050455044507
bird,0.0997852827433962,0.3000569541205922
boat,0.27837610833812504,0.4285698662780767
bottle,0.11582923055393617,0.6037892364334598
car,0.1203923815838061,0.5710914317943936
cat,0.23165212364488977,0.6213137517920544
chair,0.16300427058798958,0.721189905201259
clock,0.4189171017816989,1.903603378254983
dog,0.09732772690069393,0.5476462072710526
elephant,0.08091249124321617,0.3407458463179469
keyboard,0.12671110347670034,0.459752516167218
knife,0.11227272448944854,0.3069233822719668
oven,0.37443035595119,0.9441372114349045
truck,0.244276353867026,0.9835942962414419
