,accuracy,dprime
airplane,0.22624999999999998,1.4210424557989816
bear,0.1,1.3997639661805565
bicycle,0.41500000000000004,1.2948156183713304
bird,0.13125,0.8281808969916731
boat,0.35625,0.9401088869737553
bottle,0.355,1.9937620374792178
car,0.29,1.4670980722077325
cat,0.45875000000000005,0.7718588730818949
chair,0.41500000000000004,1.6192130678141703
clock,0.71375,3.076517783509409
dog,0.19,1.3792329494349966
elephant,0.29625,1.116952782137602
keyboard,0.3425,1.0112919011099881
knife,0.11625,1.39358671662872
oven,0.54125,1.5064162754789048
truck,0.4425,1.9794077702163377
