,accuracy,dprime
airplane,0.05007668640711922,0.35087473401514346
bear,0.08949752097687447,0.3454127878568032
bicycle,0.15275948686234186,0.8533572750189187
bird,0.1446498877671547,0.26938797604794096
boat,0.20899497973499814,0.40217935281140915
bottle,0.1609737508493708,0.7191983542021748
car,0.22341673387505576,0.6210507570230899
cat,0.20092126817042297,0.5575471971502742
chair,0.14731540468696036,0.6234601650407552
clock,0.4634564443578711,1.7420268070780753
dog,0.08157036474556659,0.5016348395284564
elephant,0.09914669299469094,0.5183886739190502
keyboard,0.07563194261398162,0.49503560305572547
knife,0.04264110666670599,0.3470511601155932
oven,0.41808254955220037,0.962294420396717
truck,0.2914697051927214,1.0754105281609956
