,accuracy,dprime
airplane,0.07162586034799456,0.35549708171771544
bear,0.07053064351493954,0.5448462058760082
bicycle,0.13838751815143038,0.6749386773113737
bird,0.04246035501244473,0.15457425130375024
boat,0.2879063723352738,0.3678455784710326
bottle,0.1492107742244843,0.5165207541936125
car,0.2226642793661449,0.55838718100629
cat,0.20085220566252246,0.4319630140487698
chair,0.0791650878655491,0.37935004147310303
clock,0.39859154548583314,1.7536825632007127
dog,0.06720443946833252,0.3646874154659512
elephant,0.05115252762596352,0.3398855622714285
keyboard,0.12040180180920283,0.49153886722602746
knife,0.03990701792121395,0.15827258296177082
oven,0.2894083840202074,0.6854399300806477
truck,0.24532490830752068,0.9906052904418813
