,accuracy,dprime
airplane,0.12250000000000001,1.6038908836302774
bear,0.09,0.9244516367935884
bicycle,0.45,1.1611310243344581
bird,0.18125,0.7874294193919537
boat,0.51125,0.7863998447951822
bottle,0.22875,1.6975371361930651
car,0.325,1.1052225160023768
cat,0.21875,1.062001908099849
chair,0.475,1.2293619823373214
clock,0.5475000000000001,3.185729074238151
dog,0.065,1.1827423732588427
elephant,0.1675,1.3438928675390232
keyboard,0.29,1.053863172344545
knife,0.0125,1.5234209219289538
oven,0.57375,1.5815350343966255
truck,0.42374999999999996,1.7970037751241617
