,accuracy,dprime
airplane,0.06375,1.5661974331105564
bear,0.16625,0.9215924736848842
bicycle,0.3125,0.9107116812615192
bird,0.18874999999999997,0.9885727742711288
boat,0.53125,0.6252359076731149
bottle,0.03875,1.1698199309766033
car,0.13874999999999998,1.2595784530209424
cat,0.28125,1.0168176451461552
chair,0.22874999999999995,1.4958650645041915
clock,0.5775,3.180766333837503
dog,0.06375,1.7664918584346376
elephant,0.1275,0.9739421159874708
keyboard,0.28500000000000003,0.9401615843527008
knife,0.01875,1.5076362197626576
oven,0.7675000000000001,1.7040811668681872
truck,0.4699999999999999,1.9942215114216857
