,accuracy,dprime
airplane,0.07584296516986792,0.6912589378172003
bear,0.1297786397760501,0.6325331289068679
bicycle,0.218385857855028,0.7086821358275966
bird,0.1554697843431495,0.4718868372179912
boat,0.2844042565964628,0.3767597018910971
bottle,0.059922721832117484,0.706067687790872
car,0.1205534325429471,0.6008043104731899
cat,0.1850409024459077,0.5997365592808415
chair,0.17628644984913985,0.8556270058272715
clock,0.48842802312399736,1.957467505954646
dog,0.07189719755318943,0.6962358260372956
elephant,0.10550006967416263,0.6880166109766872
keyboard,0.18649208908958823,0.5798399490424329
knife,0.05514359681401397,0.44199581191880544
oven,0.5077496427856386,1.1247507215507604
truck,0.31446404014481233,1.1932840973541112
