,accuracy,dprime
airplane,0.06464123079553243,0.46413239713117616
bear,0.04358496062457557,0.22287475875199858
bicycle,0.17785880401730533,0.5323249570322424
bird,0.0922894069552421,0.06481031627180767
boat,0.17553102709352966,0.5968365829716161
bottle,0.15567994244396682,0.7124113789319122
car,0.12870047427713868,0.37120175869661987
cat,0.07731758058071132,0.09732772716516713
chair,0.2922192888706922,1.0003632968855298
clock,0.5082451083883643,1.5091625011479355
dog,0.06351532869040963,0.17858407988494718
elephant,0.03419591763988133,0.1583791435626305
keyboard,0.6571565693616868,1.472346681144511
knife,0.22554517447948452,0.8241619804472774
oven,0.06855747196823354,0.48052413539765326
truck,0.02513231957331295,0.1443095329268438
