,accuracy,dprime
airplane1.png,0.0,0.0
airplane10.png,0.0,0.0
airplane2.png,0.0,0.0
airplane3.png,0.0,0.0
airplane4.png,0.0,0.0
airplane5.png,0.0,0.0
airplane6.png,0.0,0.0
airplane7.png,0.0,0.0
airplane8.png,0.0,0.0
airplane9.png,0.0,0.0
bear1.png,0.0,0.0
bear10.png,0.0,0.0
bear2.png,0.0,0.0
bear3.png,0.0,0.0
bear4.png,0.0,0.0
bear5.png,0.0,0.0
bear6.png,0.0,0.0
bear7.png,0.0,0.0
bear8.png,0.0,0.0
bear9.png,0.0,0.0
bicycle1.png,-0.14000000000000007,-0.10108226372767315
bicycle10.png,-0.44000000000000006,-5.758360147930613
bicycle2.png,-0.24000000000000005,-0.41830298459254645
bicycle3.png,0.2599999999999999,0.9477187616884084
bicycle4.png,-0.14000000000000007,-0.10108226372767315
bicycle5.png,0.5599999999999999,4.241639852069387
bicycle6.png,-0.3400000000000001,-0.8582333165642326
bicycle7.png,0.15999999999999992,0.6766653521161674
bicycle8.png,0.05999999999999994,0.42331824898036774
bicycle9.png,0.2599999999999999,0.9477187616884084
bird1.png,0.0,0.0
bird10.png,0.0,0.0
bird2.png,0.0,0.0
bird3.png,0.0,0.0
bird4.png,0.0,0.0
bird5.png,0.0,0.0
bird6.png,0.0,0.0
bird7.png,0.0,0.0
bird8.png,0.0,0.0
bird9.png,0.0,0.0
boat1.png,-0.11000000000000001,-1.5
boat10.png,-0.11000000000000001,-1.5
boat2.png,-0.010000000000000009,3.5
boat3.png,-0.11000000000000001,-1.5
boat4.png,0.09,3.5
boat5.png,-0.11000000000000001,-1.5
boat6.png,0.6900000000000001,3.5
boat7.png,-0.11000000000000001,-1.5
boat8.png,-0.11000000000000001,-1.5
boat9.png,-0.11000000000000001,-1.5
bottle1.png,-0.11000000000000001,-1.0
bottle10.png,-0.11000000000000001,-1.0
bottle2.png,0.89,4.0
bottle3.png,-0.010000000000000009,4.0
bottle4.png,-0.11000000000000001,-1.0
bottle5.png,-0.11000000000000001,-1.0
bottle6.png,-0.11000000000000001,-1.0
bottle7.png,-0.11000000000000001,-1.0
bottle8.png,-0.11000000000000001,-1.0
bottle9.png,-0.11000000000000001,-1.0
car1.png,0.0,0.0
car10.png,0.0,0.0
car2.png,0.0,0.0
car3.png,0.0,0.0
car4.png,0.0,0.0
car5.png,0.0,0.0
car6.png,0.0,0.0
car7.png,0.0,0.0
car8.png,0.0,0.0
car9.png,0.0,0.0
cat1.png,-0.04,-1.2798113138419525
cat10.png,-0.04,-1.2798113138419525
cat2.png,-0.04,-1.2798113138419525
cat3.png,0.26,5.497820781786087
cat4.png,-0.04,-1.2798113138419525
cat5.png,-0.04,-1.2798113138419525
cat6.png,0.060000000000000005,4.740669728949528
cat7.png,-0.04,-1.2798113138419525
cat8.png,-0.04,-1.2798113138419525
cat9.png,-0.04,-1.2798113138419525
