,accuracy,dprime
airplane,0.04049613995477552,-0.011729615851800101
bear,0.03123744878917929,0.013176475461436743
bicycle,0.14930026002228258,0.07934375475531508
bird,0.04818594111129637,0.07866593804397515
boat,0.09219272259622809,0.1868587399031738
bottle,0.1016684681549668,0.26388891980848106
car,0.040360011123120744,0.053253953084194894
cat,0.07654793992638584,0.11975023710684485
chair,0.15538634985685346,0.38180920887607384
clock,0.19937749572098254,0.754907716622995
dog,0.02947778308764095,0.023581204996392158
elephant,0.038700963687151625,0.027866937608659548
keyboard,0.3286509297788143,0.46061512304440627
knife,0.1395703764632344,0.30668165966252303
oven,0.019052297091111496,0.07043815387302255
truck,0.017990489890798874,0.052715686642380355
