,accuracy,dprime
airplane1.png,0.0,0.0
airplane10.png,0.0,0.0
airplane2.png,0.0,0.0
airplane3.png,0.0,0.0
airplane4.png,0.0,0.0
airplane5.png,0.0,0.0
airplane6.png,0.0,0.0
airplane7.png,0.0,0.0
airplane8.png,0.0,0.0
airplane9.png,0.0,0.0
bear1.png,0.0,0.0
bear10.png,0.0,0.0
bear2.png,0.0,0.0
bear3.png,0.0,0.0
bear4.png,0.0,0.0
bear5.png,0.0,0.0
bear6.png,0.0,0.0
bear7.png,0.0,0.0
bear8.png,0.0,0.0
bear9.png,0.0,0.0
bicycle1.png,-0.01,-0.6158955312230319
bicycle10.png,-0.01,-0.6158955312230319
bicycle2.png,0.09000000000000001,5.543059781007285
bicycle3.png,-0.01,-0.6158955312230319
bicycle4.png,-0.01,-0.6158955312230319
bicycle5.png,-0.01,-0.6158955312230319
bicycle6.png,-0.01,-0.6158955312230319
bicycle7.png,-0.01,-0.6158955312230319
bicycle8.png,-0.01,-0.6158955312230319
bicycle9.png,-0.01,-0.6158955312230319
bird1.png,0.0,0.0
bird10.png,0.0,0.0
bird2.png,0.0,0.0
bird3.png,0.0,0.0
bird4.png,0.0,0.0
bird5.png,0.0,0.0
bird6.png,0.0,0.0
bird7.png,0.0,0.0
bird8.png,0.0,0.0
bird9.png,0.0,0.0
boat1.png,0.39,3.6069414367227077
boat10.png,-0.51,-2.4624729305043687
boat2.png,0.39,3.6069414367227077
boat3.png,-0.61,-6.393058563277292
boat4.png,0.39,3.6069414367227077
boat5.png,-0.61,-6.393058563277292
boat6.png,0.39,3.6069414367227077
boat7.png,0.39,3.6069414367227077
boat8.png,-0.61,-6.393058563277292
boat9.png,0.39,3.6069414367227077
bottle1.png,0.54,7.431395287541108
bottle10.png,-0.06,-0.8257105875045676
bottle2.png,-0.06,-0.8257105875045676
bottle3.png,-0.06,-0.8257105875045676
bottle4.png,-0.06,-0.8257105875045676
bottle5.png,-0.06,-0.8257105875045676
bottle6.png,-0.06,-0.8257105875045676
bottle7.png,-0.06,-0.8257105875045676
bottle8.png,-0.06,-0.8257105875045676
bottle9.png,-0.06,-0.8257105875045676
car1.png,0.0,0.0
car10.png,0.0,0.0
car2.png,0.0,0.0
car3.png,0.0,0.0
car4.png,0.0,0.0
car5.png,0.0,0.0
car6.png,0.0,0.0
car7.png,0.0,0.0
car8.png,0.0,0.0
car9.png,0.0,0.0
cat1.png,0.0,0.0
cat10.png,0.0,0.0
cat2.png,0.0,0.0
cat3.png,0.0,0.0
cat4.png,0.0,0.0
cat5.png,0.0,0.0
cat6.png,0.0,0.0
cat7.png,0.0,0.0
cat8.png,0.0,0.0
cat9.png,0.0,0.0
chair1.png,0.71,6.899491246294653
chair10.png,-0.19,-2.5907672296849653
chair2.png,-0.19,-2.5907672296849653
chair3.png,-0.19,-2.5907672296849653
chair4.png,-0.09,4.336388115205453
chair5.png,-0.19,-2.5907672296849653
chair6.png,0.71,6.899491246294653
chair7.png,-0.19,-2.5907672296849653
chair8.png,-0.19,-2.5907672296849653
chair9.png,-0.19,-2.5907672296849653
clock1.png,-0.6,-6.0
clock10.png,-0.6,-6.0
clock2.png,0.4,4.0
clock3.png,0.4,4.0
clock4.png,-0.6,-6.0
clock5.png,0.4,4.0
clock6.png,0.4,4.0
clock7.png,-0.6,-6.0
clock8.png,0.4,4.0
clock9.png,0.4,4.0
dog1.png,0.0,0.0
dog10.png,0.0,0.0
dog2.png,0.0,0.0
dog3.png,0.0,0.0
dog4.png,0.0,0.0
dog5.png,0.0,0.0
dog6.png,0.0,0.0
dog7.png,0.0,0.0
dog8.png,0.0,0.0
dog9.png,0.0,0.0
elephant1.png,0.0,0.0
elephant10.png,0.0,0.0
elephant2.png,0.0,0.0
elephant3.png,0.0,0.0
elephant4.png,0.0,0.0
elephant5.png,0.0,0.0
elephant6.png,0.0,0.0
elephant7.png,0.0,0.0
elephant8.png,0.0,0.0
elephant9.png,0.0,0.0
keyboard1.png,0.25,2.130377547446963
keyboard10.png,0.25,2.130377547446963
keyboard2.png,-0.65,-4.035612420992254
keyboard3.png,-0.75,-7.8696224525530365
keyboard4.png,-0.35,-3.0074079585834532
keyboard5.png,0.25,2.130377547446963
keyboard6.png,0.25,2.130377547446963
keyboard7.png,0.25,2.130377547446963
keyboard8.png,0.25,2.130377547446963
keyboard9.png,0.25,2.130377547446963
knife1.png,0.73,6.689277097847666
knife10.png,-0.27,-3.3107229021523343
knife2.png,-0.27,-3.3107229021523343
knife3.png,0.73,6.689277097847666
knife4.png,0.32999999999999996,4.010340942949538
knife5.png,-0.27,-3.3107229021523343
knife6.png,-0.27,-3.3107229021523343
knife7.png,-0.17,2.475442274269138
knife8.png,-0.27,-3.3107229021523343
knife9.png,-0.27,-3.3107229021523343
oven1.png,0.0,0.0
oven10.png,0.0,0.0
oven2.png,0.0,0.0
oven3.png,0.0,0.0
oven4.png,0.0,0.0
oven5.png,0.0,0.0
oven6.png,0.0,0.0
oven7.png,0.0,0.0
oven8.png,0.0,0.0
oven9.png,0.0,0.0
truck1.png,0.0,0.0
truck10.png,0.0,0.0
truck2.png,0.0,0.0
truck3.png,0.0,0.0
truck4.png,0.0,0.0
truck5.png,0.0,0.0
truck6.png,0.0,0.0
truck7.png,0.0,0.0
truck8.png,0.0,0.0
truck9.png,0.0,0.0
