,accuracy,dprime
airplane,0.03506372075527901,0.06142972988934492
bear,0.027506207749247502,0.13961619897064237
bicycle,0.12935662422329183,0.5147862246042296
bird,0.030860416814684814,0.053680221069617895
boat,0.2640418584644794,0.24738927920293252
bottle,0.10776611097156999,0.16864579497047982
car,0.02628474919125433,0.026640591711553308
cat,0.06660719670355315,0.0842250579444006
chair,0.113450687341392,0.35506556167510794
clock,0.29933246761560434,1.2020345159503856
dog,0.026349688991904208,0.1126050921133317
elephant,0.03450237907469268,0.14876425031301754
keyboard,0.38364150442183015,0.6126311026547815
knife,0.24525652959942815,0.5127982606954663
oven,0.021462093265727115,0.11452155826410904
truck,0.011965738125145387,0.1337850207827742
