,accuracy,dprime
airplane,0.05540632005780931,0.2028221860512851
bear,0.013599930820055256,0.0010385682844642474
bicycle,0.37871499508619305,0.5396321285929031
bird,0.035301079414784865,0.05488931912941486
boat,0.20913640931248662,0.5012739430879901
bottle,0.09915038289502259,0.7853945955155552
car,0.021435479177162004,0.21862544555803165
cat,0.06066474862396711,0.0746195037344517
chair,0.24413719315081828,1.0272322678931456
clock,0.3995930859446525,1.5490146438566221
dog,0.01159512283280487,-0.014571694879034869
elephant,0.012622448839247175,0.0191098023007652
keyboard,0.7475928002595902,1.4129637529546453
knife,0.18806861668825145,0.5765477021010824
oven,0.06481086888350543,0.4167011154732161
truck,0.018303683809935998,0.25972117059235345
