,accuracy,dprime
airplane,0.5623196709156035,1.9679558557084884
bear,0.33366124186664814,1.0955355980585644
bicycle,0.8313659554719924,2.878467987640462
bird,0.357281181588769,1.2715915432255889
boat,0.09570027468726035,0.6396640639335349
bottle,0.7617676457762718,2.748275563349077
car,0.03754576414823528,0.28990229793028677
cat,0.16369099102914333,0.9142820404840414
chair,0.7075657606124877,1.8535799633929222
clock,0.06085131924599404,0.46969243014463413
dog,0.2658993531391024,1.1848984007487355
elephant,0.32870359770953655,1.3185653591886608
keyboard,0.23507747545838353,0.6607492529551738
knife,0.46047401145100597,1.0835886459735966
oven,0.0499072643462568,0.37737325062763016
truck,0.09948646815493699,0.7094402291160469
