,accuracy,dprime
airplane,0.554466906785965,1.7556740192472502
bear,0.0910071691870689,0.5536746010894347
bicycle,0.7924209755659104,2.924472103243174
bird,0.1646699104644358,1.0914539992226746
boat,0.24165989078581332,0.876917297042802
bottle,0.7387474936246872,2.2118150338486755
car,0.035512496214359965,0.20260323973871586
cat,0.2886885709315538,1.098007034240613
chair,0.8064485093951225,2.0803309509216104
clock,0.056115288827568256,0.4593514646614516
dog,0.17499735990539192,0.8789980832859167
elephant,0.32087907679378985,1.2211427346759556
keyboard,0.17654781285673377,0.5910049839233125
knife,0.584150206297636,1.5065314415278828
oven,0.05163792341947552,0.36011358636530666
truck,0.07273908605799076,0.616507111964778
