,accuracy,dprime
airplane1.png,0.0,0.0
airplane10.png,0.0,0.0
airplane2.png,0.0,0.0
airplane3.png,0.0,0.0
airplane4.png,0.0,0.0
airplane5.png,0.0,0.0
airplane6.png,0.0,0.0
airplane7.png,0.0,0.0
airplane8.png,0.0,0.0
airplane9.png,0.0,0.0
bear1.png,0.19999999999999996,2.0
bear10.png,-0.8,-8.0
bear2.png,0.19999999999999996,2.0
bear3.png,0.19999999999999996,2.0
bear4.png,0.19999999999999996,2.0
bear5.png,0.19999999999999996,2.0
bear6.png,-0.8,-8.0
bear7.png,0.19999999999999996,2.0
bear8.png,0.19999999999999996,2.0
bear9.png,0.19999999999999996,2.0
bicycle1.png,0.0,0.0
bicycle10.png,0.0,0.0
bicycle2.png,0.0,0.0
bicycle3.png,0.0,0.0
bicycle4.png,0.0,0.0
bicycle5.png,0.0,0.0
bicycle6.png,0.0,0.0
bicycle7.png,0.0,0.0
bicycle8.png,0.0,0.0
bicycle9.png,0.0,0.0
bird1.png,-0.6,-6.0
bird10.png,0.4,4.0
bird2.png,-0.6,-6.0
bird3.png,0.4,4.0
bird4.png,-0.6,-6.0
bird5.png,0.4,4.0
bird6.png,0.4,4.0
bird7.png,-0.6,-6.0
bird8.png,0.4,4.0
bird9.png,0.4,4.0
boat1.png,-0.14,-2.314352722018633
boat10.png,0.86,7.685647277981367
boat2.png,-0.14,-2.314352722018633
boat3.png,-0.14,-2.314352722018633
boat4.png,-0.14,-2.314352722018633
boat5.png,0.15999999999999998,4.635986414492811
boat6.png,-0.14,-2.314352722018633
boat7.png,-0.14,-2.314352722018633
boat8.png,-0.14,-2.314352722018633
boat9.png,-0.04000000000000001,3.8788353616562508
bottle1.png,0.0,0.0
bottle10.png,0.0,0.0
bottle2.png,0.0,0.0
bottle3.png,0.0,0.0
bottle4.png,0.0,0.0
bottle5.png,0.0,0.0
bottle6.png,0.0,0.0
bottle7.png,0.0,0.0
bottle8.png,0.0,0.0
bottle9.png,0.0,0.0
car1.png,0.0,0.0
car10.png,0.0,0.0
car2.png,0.0,0.0
car3.png,0.0,0.0
car4.png,0.0,0.0
car5.png,0.0,0.0
car6.png,0.0,0.0
car7.png,0.0,0.0
car8.png,0.0,0.0
car9.png,0.0,0.0
cat1.png,0.86,3.5
cat10.png,-0.13999999999999999,-1.5
cat2.png,-0.13999999999999999,-1.5
cat3.png,-0.13999999999999999,-1.5
cat4.png,-0.13999999999999999,-1.5
cat5.png,0.16,3.5
cat6.png,-0.13999999999999999,-1.5
cat7.png,-0.03999999999999998,3.5
cat8.png,-0.13999999999999999,-1.5
cat9.png,-0.13999999999999999,-1.5
chair1.png,0.10999999999999999,1.1935941900501872
chair10.png,0.10999999999999999,1.1935941900501872
chair2.png,0.10999999999999999,1.1935941900501872
chair3.png,0.10999999999999999,1.1935941900501872
chair4.png,0.10999999999999999,1.1935941900501872
