,accuracy,dprime
airplane,0.794419503211975,2.564436981510013
bear,0.4634518311172724,1.381772314159654
bicycle,0.7812278982996942,2.818664724631204
bird,0.5604650752246381,1.6613305061741543
boat,0.15628407597541805,0.6847326162210294
bottle,0.8712238466739655,3.078718656090436
car,0.031440562978386835,0.4072190058278875
cat,0.20911450827494266,1.0687361212969493
chair,0.6055692686140538,1.9134122127020183
clock,0.10143153801560398,0.8193292067565356
dog,0.32276918295770884,1.3962948785240519
elephant,0.34383284334093334,1.6221683434330467
keyboard,0.18238280829042194,0.8117368445469282
knife,0.6578970925509929,1.5112105586440454
oven,0.11540088107809421,0.6696053137740325
truck,0.04539455570746208,0.6053902516201621
