,accuracy,dprime
airplane,0.08562413278675,0.289678129190754
bear,0.04869696860381251,0.7859876880101837
bicycle,0.05678992780992376,1.0118450802294074
bird,0.12461078984574998,0.5868935914569626
boat,0.062392885568875,0.595230919299008
bottle,0.1649951978,0.10757620663670742
car,0.01884113615585625,0.6010459087734894
cat,0.037975872493925,0.41127467871387524
chair,0.12340403918675,0.4120860127446
clock,0.8016582768500001,0.8057785064636038
dog,0.07238130058325001,0.6810552264024345
elephant,0.00544833994555625,0.5354951252568627
keyboard,0.012001007698325,0.5140745692295003
knife,0.060934695874875,0.03503298322512838
oven,0.009940828932437498,0.34310539481088087
truck,0.089008241974375,0.7772220719076504
