,accuracy,dprime
airplane,0.0054466071647875,0.25358006282744716
bear,0.12392481978599998,0.996918742771643
bicycle,0.2161912518079375,1.124210974009794
bird,0.029459233199750003,0.5476452234279745
boat,0.014596000353912503,0.4300993100776842
bottle,0.45714344372249993,0.829311984481143
car,0.05470651240591251,1.0114806673763934
cat,0.13899119599125004,0.8165268626685116
chair,0.21005382344875004,0.7393424801783769
clock,0.7655582990750001,1.9735106820431478
dog,0.068771262294375,0.8205932797009428
elephant,0.06183715705851587,0.8454757904536827
keyboard,0.11103743151125,0.6269820491043103
knife,0.4550473539624999,0.29850739703405915
oven,0.154108417982125,0.916342540513124
truck,0.19111274544625,1.3881461026778188
