,accuracy,dprime
airplane,0.05,1.0681982615212453
bear,0.125,1.0910533472289372
bicycle,0.25,0.8873177969184264
bird,0.05,1.290345841915233
boat,0.025,1.1840163025290251
bottle,0.35,0.9203440593222394
car,0.1875,2.2568337280502035
cat,0.1375,0.8683436171058867
chair,0.4125,1.2995884780529603
clock,0.9,1.4706699918173929
dog,0.125,1.0910533472289372
elephant,0.25,1.2186947844775822
keyboard,0.0875,1.002504459631568
knife,0.0875,0.054387433115150596
oven,0.125,1.0910533472289372
truck,0.3,2.05142879084086
