,unique_img,object_response,category
0,cat4-truck3.png,clock,cat
1,cat4-oven1.png,clock,cat
2,cat2-car3.png,clock,cat
3,cat9-truck1.png,chair,cat
4,cat8-car2.png,clock,cat
5,cat7-knife2.png,clock,cat
6,cat5-bottle1.png,clock,cat
7,cat10-elephant3.png,clock,cat
8,cat10-bird2.png,knife,cat
9,cat6-bear1.png,cat,cat
10,cat7-airplane2.png,clock,cat
11,cat2-knife3.png,dog,cat
12,cat9-bottle2.png,clock,cat
13,cat10-bear1.png,cat,cat
14,cat4-cat3.png,knife,cat
15,cat9-dog2.png,knife,cat
16,cat4-airplane1.png,clock,cat
17,cat7-clock3.png,cat,cat
18,cat10-clock1.png,clock,cat
19,cat5-dog3.png,cat,cat
20,cat4-dog3.png,cat,cat
21,cat3-cat1.png,cat,cat
22,cat2-cat1.png,dog,cat
23,cat5-chair3.png,clock,cat
24,cat7-boat3.png,clock,cat
25,cat1-bird1.png,clock,cat
26,cat6-keyboard3.png,knife,cat
27,cat9-cat3.png,knife,cat
28,cat5-knife2.png,clock,cat
29,cat4-car2.png,clock,cat
30,cat5-car2.png,car,cat
31,cat7-elephant1.png,knife,cat
32,cat1-keyboard3.png,clock,cat
33,cat3-elephant2.png,clock,cat
34,cat3-oven2.png,clock,cat
35,cat5-keyboard3.png,knife,cat
36,cat10-airplane3.png,cat,cat
37,cat1-boat1.png,chair,cat
38,cat3-truck3.png,bottle,cat
39,cat10-bicycle1.png,clock,cat
40,cat2-elephant1.png,knife,cat
41,cat1-dog1.png,cat,cat
42,cat6-oven1.png,clock,cat
43,cat9-boat2.png,clock,cat
44,cat8-bicycle3.png,knife,cat
45,cat6-clock3.png,cat,cat
46,cat4-keyboard2.png,knife,cat
47,cat10-bottle1.png,clock,cat
48,cat5-elephant2.png,clock,cat
49,cat2-boat2.png,clock,cat
50,cat9-bird3.png,knife,cat
51,cat6-chair3.png,clock,cat
52,cat9-bicycle1.png,clock,cat
53,cat10-oven2.png,truck,cat
54,cat1-car2.png,chair,cat
55,cat4-bird2.png,clock,cat
56,cat5-bear2.png,cat,cat
57,cat8-bear1.png,clock,cat
58,cat5-airplane2.png,chair,cat
59,cat9-clock2.png,cat,cat
60,cat10-keyboard1.png,clock,cat
61,cat1-chair2.png,chair,cat
62,cat3-bicycle1.png,knife,cat
63,cat1-airplane1.png,clock,cat
64,cat2-truck3.png,clock,cat
65,cat7-bottle1.png,clock,cat
66,cat4-clock2.png,clock,cat
67,cat5-boat1.png,clock,cat
68,cat5-bicycle3.png,knife,cat
69,cat9-knife2.png,clock,cat
70,cat4-chair2.png,chair,cat
71,cat1-oven1.png,clock,cat
72,cat7-truck2.png,truck,cat
73,cat4-knife1.png,clock,cat
74,cat1-cat3.png,cat,cat
75,cat3-bear2.png,cat,cat
76,cat8-bird2.png,clock,cat
77,cat2-bottle3.png,clock,cat
78,cat7-dog3.png,cat,cat
79,cat9-chair2.png,chair,cat
80,car3-dog2.png,clock,car
81,car6-truck3.png,clock,car
82,car7-oven2.png,bottle,car
83,car8-dog1.png,clock,car
84,car8-chair1.png,car,car
85,car8-boat3.png,clock,car
86,car3-bird2.png,clock,car
87,car8-knife2.png,clock,car
88,car5-cat1.png,knife,car
89,car4-cat3.png,knife,car
90,car5-bear3.png,bear,car
91,car5-knife2.png,clock,car
92,car8-bear1.png,clock,car
93,car10-dog1.png,chair,car
94,car4-bicycle3.png,knife,car
95,car2-car3.png,clock,car
96,car8-clock2.png,clock,car
97,car1-oven3.png,clock,car
98,car10-chair1.png,chair,car
99,car3-truck1.png,chair,car
100,car3-boat1.png,clock,car
101,car10-car1.png,chair,car
102,car3-airplane3.png,car,car
103,car5-bottle1.png,clock,car
104,car7-airplane2.png,clock,car
105,car8-bicycle2.png,clock,car
106,car4-boat1.png,clock,car
107,car2-bird3.png,knife,car
108,car10-elephant2.png,knife,car
109,car6-bottle1.png,clock,car
110,car4-car2.png,chair,car
111,car3-elephant3.png,knife,car
112,car1-keyboard2.png,knife,car
113,car4-bear3.png,elephant,car
114,car5-keyboard3.png,clock,car
115,car10-bottle3.png,clock,car
116,car7-elephant3.png,chair,car
117,car9-truck3.png,bottle,car
118,car2-chair1.png,bottle,car
119,car9-bird1.png,cat,car
120,car3-bottle3.png,clock,car
121,car4-elephant3.png,clock,car
122,car2-knife3.png,bottle,car
123,car9-bicycle2.png,clock,car
124,car7-clock1.png,clock,car
125,car2-cat3.png,knife,car
126,car4-bird1.png,clock,car
127,car9-cat1.png,knife,car
128,car8-cat1.png,clock,car
129,car7-bear1.png,knife,car
130,car9-clock2.png,car,car
131,car4-clock1.png,clock,car
132,car4-bottle1.png,clock,car
133,car7-keyboard3.png,clock,car
134,car5-oven2.png,clock,car
135,car1-chair3.png,clock,car
136,car7-boat3.png,clock,car
137,car10-keyboard2.png,knife,car
138,car1-car2.png,clock,car
139,car7-bird3.png,knife,car
140,car1-clock2.png,clock,car
141,car8-airplane3.png,knife,car
142,car3-oven3.png,chair,car
143,car1-dog2.png,knife,car
144,car6-elephant3.png,clock,car
145,car9-knife1.png,chair,car
146,car10-bicycle2.png,clock,car
147,car6-bear1.png,clock,car
148,car6-boat1.png,clock,car
149,car4-oven2.png,oven,car
150,car7-dog3.png,knife,car
151,car5-airplane3.png,bottle,car
152,car6-knife1.png,clock,car
153,car5-truck3.png,chair,car
154,car6-chair3.png,clock,car
155,car7-car1.png,chair,car
156,car1-airplane1.png,clock,car
157,car9-keyboard2.png,knife,car
158,car6-bicycle3.png,clock,car
159,car8-truck3.png,chair,car
160,dog3-elephant2.png,clock,dog
161,dog4-bicycle1.png,clock,dog
162,dog10-airplane1.png,chair,dog
163,dog5-truck2.png,truck,dog
164,dog3-boat1.png,clock,dog
165,dog10-car3.png,chair,dog
166,dog2-dog3.png,dog,dog
167,dog3-clock1.png,clock,dog
168,dog3-dog1.png,knife,dog
169,dog4-cat3.png,knife,dog
170,dog10-oven2.png,keyboard,dog
171,dog9-airplane3.png,clock,dog
172,dog10-clock1.png,clock,dog
173,dog9-bottle1.png,clock,dog
174,dog8-dog3.png,clock,dog
175,dog3-bear3.png,clock,dog
176,dog7-oven2.png,truck,dog
177,dog3-knife3.png,dog,dog
178,dog8-bear3.png,elephant,dog
179,dog6-clock1.png,clock,dog
180,dog8-boat3.png,clock,dog
181,dog9-car1.png,clock,dog
182,dog3-bird2.png,knife,dog
183,dog5-bear3.png,elephant,dog
184,dog5-boat3.png,bottle,dog
185,dog4-elephant2.png,knife,dog
186,dog2-bicycle2.png,knife,dog
187,dog10-dog1.png,chair,dog
188,dog5-car3.png,chair,dog
189,dog10-bottle1.png,chair,dog
190,dog8-keyboard3.png,clock,dog
191,dog4-bird1.png,clock,dog
192,dog4-chair1.png,clock,dog
193,dog9-chair2.png,knife,dog
194,dog4-airplane3.png,clock,dog
195,dog9-bear3.png,clock,dog
196,dog10-elephant1.png,knife,dog
197,dog1-chair1.png,clock,dog
198,dog9-bicycle3.png,knife,dog
199,dog2-cat1.png,dog,dog
200,dog1-knife3.png,dog,dog
201,dog4-clock1.png,clock,dog
202,dog9-boat1.png,clock,dog
203,dog9-cat1.png,knife,dog
204,dog2-knife3.png,clock,dog
205,dog7-bird3.png,dog,dog
206,dog1-bear1.png,dog,dog
207,dog2-airplane2.png,clock,dog
208,dog4-bottle2.png,clock,dog
209,dog1-boat3.png,clock,dog
210,dog1-car2.png,clock,dog
211,dog10-keyboard2.png,knife,dog
212,dog4-truck2.png,chair,dog
213,dog7-chair2.png,chair,dog
214,dog1-dog2.png,knife,dog
215,dog1-airplane3.png,bottle,dog
216,dog8-bottle2.png,clock,dog
217,dog7-knife3.png,clock,dog
218,dog8-oven3.png,clock,dog
219,dog1-bird1.png,clock,dog
220,dog5-oven1.png,clock,dog
221,dog6-cat1.png,dog,dog
222,dog3-keyboard1.png,knife,dog
223,dog1-cat3.png,knife,dog
224,dog5-elephant1.png,knife,dog
225,dog8-clock2.png,clock,dog
226,dog3-truck2.png,chair,dog
227,dog7-keyboard3.png,clock,dog
228,dog10-truck2.png,truck,dog
229,dog6-bird1.png,clock,dog
230,dog2-bottle2.png,clock,dog
231,dog6-bicycle1.png,clock,dog
232,dog6-truck2.png,truck,dog
233,dog6-elephant2.png,clock,dog
234,dog4-keyboard2.png,clock,dog
235,dog5-knife2.png,clock,dog
236,dog10-bicycle1.png,chair,dog
237,dog4-oven1.png,clock,dog
238,dog8-chair3.png,clock,dog
239,dog7-car2.png,clock,dog
240,bear3-airplane1.png,clock,bear
241,bear8-truck3.png,clock,bear
242,bear2-cat2.png,clock,bear
243,bear6-chair1.png,clock,bear
244,bear10-cat2.png,clock,bear
245,bear10-oven1.png,knife,bear
246,bear3-cat1.png,cat,bear
247,bear5-bicycle3.png,knife,bear
248,bear8-bottle1.png,clock,bear
249,bear4-boat2.png,clock,bear
250,bear3-chair2.png,chair,bear
251,bear6-clock1.png,clock,bear
252,bear2-bird3.png,dog,bear
253,bear4-car3.png,chair,bear
254,bear3-bicycle2.png,knife,bear
255,bear9-boat2.png,clock,bear
256,bear10-truck1.png,knife,bear
257,bear7-truck1.png,chair,bear
258,bear5-bird1.png,clock,bear
259,bear4-elephant2.png,clock,bear
260,bear2-keyboard2.png,clock,bear
261,bear9-knife2.png,knife,bear
262,bear4-knife1.png,clock,bear
263,bear3-car2.png,chair,bear
264,bear2-car2.png,clock,bear
265,bear1-clock2.png,cat,bear
266,bear10-car2.png,clock,bear
267,bear4-clock3.png,cat,bear
268,bear8-bicycle3.png,knife,bear
269,bear8-bear1.png,clock,bear
270,bear10-bottle1.png,clock,bear
271,bear1-chair2.png,oven,bear
272,bear2-dog1.png,cat,bear
273,bear5-boat2.png,clock,bear
274,bear4-cat3.png,clock,bear
275,bear7-oven3.png,elephant,bear
276,bear3-dog3.png,cat,bear
277,bear8-boat2.png,clock,bear
278,bear3-bird3.png,oven,bear
279,bear8-dog1.png,cat,bear
280,bear9-dog1.png,cat,bear
281,bear10-elephant1.png,knife,bear
282,bear9-bottle2.png,clock,bear
283,bear6-car2.png,clock,bear
284,bear2-oven1.png,knife,bear
285,bear2-elephant1.png,knife,bear
286,bear10-bear2.png,bear,bear
287,bear10-clock1.png,chair,bear
288,bear7-clock1.png,clock,bear
289,bear6-bird2.png,clock,bear
290,bear8-airplane1.png,clock,bear
291,bear4-keyboard3.png,clock,bear
292,bear2-knife2.png,clock,bear
293,bear3-keyboard2.png,keyboard,bear
294,bear7-dog3.png,cat,bear
295,bear6-boat3.png,bottle,bear
296,bear10-knife2.png,clock,bear
297,bear4-oven2.png,clock,bear
298,bear4-truck3.png,clock,bear
299,bear10-keyboard3.png,clock,bear
300,bear5-bottle1.png,clock,bear
301,bear6-bear1.png,dog,bear
302,bear10-chair2.png,chair,bear
303,bear1-elephant1.png,knife,bear
304,bear1-airplane3.png,bear,bear
305,bear5-airplane3.png,bear,bear
306,bear1-bear3.png,elephant,bear
307,bear3-truck3.png,bottle,bear
308,bear9-keyboard3.png,knife,bear
309,bear1-bicycle3.png,knife,bear
310,bear6-bottle3.png,clock,bear
311,bear6-cat3.png,knife,bear
312,bear5-chair1.png,clock,bear
313,bear8-elephant2.png,clock,bear
314,bear7-bear2.png,bear,bear
315,bear2-airplane1.png,clock,bear
316,bear7-bicycle2.png,clock,bear
317,bear8-knife3.png,knife,bear
318,bear5-oven3.png,clock,bear
319,bear1-bird2.png,cat,bear
320,boat1-keyboard3.png,knife,boat
321,boat2-bottle2.png,clock,boat
322,boat7-elephant3.png,clock,boat
323,boat3-bicycle2.png,bottle,boat
324,boat4-bicycle3.png,knife,boat
325,boat3-chair3.png,bottle,boat
326,boat10-truck1.png,chair,boat
327,boat6-clock2.png,clock,boat
328,boat9-airplane2.png,chair,boat
329,boat6-bear1.png,knife,boat
330,boat3-car3.png,chair,boat
331,boat7-bottle1.png,clock,boat
332,boat10-oven1.png,knife,boat
333,boat5-bicycle3.png,knife,boat
334,boat8-dog3.png,clock,boat
335,boat9-dog2.png,knife,boat
336,boat3-clock3.png,clock,boat
337,boat2-keyboard1.png,clock,boat
338,boat3-dog3.png,cat,boat
339,boat2-oven3.png,clock,boat
340,boat4-elephant2.png,knife,boat
341,boat6-knife2.png,clock,boat
342,boat8-truck2.png,clock,boat
343,boat7-boat2.png,clock,boat
344,boat3-cat3.png,knife,boat
345,boat4-bottle2.png,clock,boat
346,boat8-oven1.png,clock,boat
347,boat1-bird3.png,knife,boat
348,boat9-clock1.png,clock,boat
349,boat1-chair3.png,bottle,boat
350,boat9-cat3.png,knife,boat
351,boat4-dog2.png,knife,boat
352,boat9-knife2.png,clock,boat
353,boat7-truck2.png,chair,boat
354,boat4-chair2.png,oven,boat
355,boat3-airplane2.png,chair,boat
356,boat4-knife2.png,clock,boat
357,boat9-chair2.png,clock,boat
358,boat1-bear1.png,knife,boat
359,boat8-bottle1.png,clock,boat
360,boat4-car3.png,chair,boat
361,boat5-car3.png,clock,boat
362,boat6-cat1.png,knife,boat
363,boat4-boat3.png,bottle,boat
364,boat8-elephant1.png,knife,boat
365,boat2-bird1.png,clock,boat
366,boat6-airplane2.png,knife,boat
367,boat6-bottle2.png,clock,boat
368,boat9-boat3.png,clock,boat
369,boat2-airplane1.png,knife,boat
370,boat7-chair1.png,chair,boat
371,boat7-cat3.png,clock,boat
372,boat9-bear3.png,clock,boat
373,boat1-car2.png,clock,boat
374,boat10-boat3.png,chair,boat
375,boat2-bear3.png,knife,boat
376,boat5-airplane1.png,clock,boat
377,boat9-keyboard2.png,knife,boat
378,boat10-bear3.png,knife,boat
379,boat4-bird1.png,clock,boat
380,boat1-truck3.png,chair,boat
381,boat7-clock3.png,clock,boat
382,boat10-cat1.png,knife,boat
383,boat9-bird1.png,clock,boat
384,boat5-boat3.png,clock,boat
385,boat6-truck3.png,clock,boat
386,boat5-knife2.png,clock,boat
387,boat6-car1.png,clock,boat
388,boat7-oven3.png,clock,boat
389,boat1-elephant3.png,knife,boat
390,boat3-keyboard2.png,knife,boat
391,boat8-knife1.png,chair,boat
392,boat7-keyboard3.png,clock,boat
393,boat6-bicycle2.png,knife,boat
394,boat1-bicycle2.png,clock,boat
395,boat1-oven1.png,clock,boat
396,boat6-elephant2.png,clock,boat
397,boat8-bird2.png,clock,boat
398,boat5-clock3.png,clock,boat
399,boat6-dog1.png,knife,boat
400,oven3-bottle3.png,clock,oven
401,oven3-clock3.png,clock,oven
402,oven4-elephant3.png,clock,oven
403,oven2-dog3.png,oven,oven
404,oven1-boat3.png,clock,oven
405,oven6-chair3.png,clock,oven
406,oven10-oven3.png,clock,oven
407,oven6-knife3.png,clock,oven
408,oven6-bicycle1.png,clock,oven
409,oven3-car2.png,clock,oven
410,oven9-airplane2.png,chair,oven
411,oven7-elephant1.png,knife,oven
412,oven5-keyboard2.png,clock,oven
413,oven3-knife1.png,clock,oven
414,oven2-car1.png,chair,oven
415,oven3-elephant3.png,clock,oven
416,oven1-bird3.png,oven,oven
417,oven9-car2.png,clock,oven
418,oven9-knife3.png,oven,oven
419,oven3-airplane1.png,clock,oven
420,oven1-clock3.png,clock,oven
421,oven9-chair1.png,clock,oven
422,oven6-bird1.png,clock,oven
423,oven5-bottle3.png,clock,oven
424,oven4-car1.png,chair,oven
425,oven4-knife2.png,clock,oven
426,oven2-oven3.png,clock,oven
427,oven4-chair1.png,chair,oven
428,oven8-cat3.png,knife,oven
429,oven6-bear2.png,knife,oven
430,oven9-clock2.png,clock,oven
431,oven5-dog3.png,oven,oven
432,oven4-clock2.png,chair,oven
433,oven4-dog1.png,clock,oven
434,oven2-truck3.png,clock,oven
435,oven3-cat2.png,clock,oven
436,oven8-keyboard3.png,knife,oven
437,oven9-oven1.png,oven,oven
438,oven3-boat3.png,clock,oven
439,oven3-bear2.png,clock,oven
440,oven10-boat2.png,oven,oven
441,oven2-chair1.png,chair,oven
442,oven5-bird1.png,clock,oven
443,oven9-keyboard1.png,keyboard,oven
444,oven5-airplane1.png,clock,oven
445,oven7-bottle1.png,clock,oven
446,oven7-clock2.png,truck,oven
447,oven10-bear1.png,clock,oven
448,oven7-oven1.png,oven,oven
449,oven2-bottle1.png,clock,oven
450,oven4-truck3.png,clock,oven
451,oven10-airplane2.png,clock,oven
452,oven10-truck2.png,truck,oven
453,oven7-cat1.png,bottle,oven
454,oven1-dog3.png,oven,oven
455,oven6-airplane3.png,chair,oven
456,oven10-cat2.png,knife,oven
457,oven2-boat3.png,chair,oven
458,oven10-bicycle1.png,clock,oven
459,oven2-bear3.png,chair,oven
460,oven9-bird3.png,oven,oven
461,oven3-truck1.png,clock,oven
462,oven6-elephant2.png,chair,oven
463,oven4-keyboard3.png,clock,oven
464,oven7-dog2.png,knife,oven
465,oven4-bicycle2.png,clock,oven
466,oven1-cat1.png,knife,oven
467,oven8-knife2.png,clock,oven
468,oven2-bicycle1.png,clock,oven
469,oven8-chair1.png,clock,oven
470,oven5-bicycle1.png,clock,oven
471,oven9-boat2.png,oven,oven
472,oven5-elephant1.png,knife,oven
473,oven7-car3.png,bottle,oven
474,oven6-truck1.png,clock,oven
475,oven6-oven3.png,clock,oven
476,oven2-bird2.png,clock,oven
477,oven7-keyboard1.png,keyboard,oven
478,oven9-bear2.png,clock,oven
479,oven4-bottle2.png,clock,oven
480,chair2-bear2.png,elephant,chair
481,chair9-dog2.png,clock,chair
482,chair5-cat3.png,clock,chair
483,chair4-cat2.png,knife,chair
484,chair9-bird3.png,clock,chair
485,chair8-keyboard3.png,clock,chair
486,chair8-bicycle3.png,chair,chair
487,chair3-knife1.png,clock,chair
488,chair10-bottle3.png,clock,chair
