,accuracy,dprime
airplane,0.008584091890699998,-0.15220448949284382
bear,0.072618206375375,0.8505950323964415
bicycle,0.09877869704950001,1.1940287209621099
bird,0.06669227793875,0.47105097924268
boat,0.029324552089875,0.5091427628578156
bottle,0.18708640831125,0.5990469386989079
car,0.08093792679738751,1.0521919795553825
cat,0.15864061734375,0.5740271778747696
chair,0.14406048015875,0.7226369728859021
clock,0.846827541975,1.2577305019214047
dog,0.09786251710000002,0.6968074605719445
elephant,0.063607040936375,0.6166692217285215
keyboard,0.046897049342874995,0.3637847302828947
knife,0.23128820613374995,0.09909498227804647
oven,0.045556841925074996,0.9693130105724541
truck,0.081660524374,0.9405894012208513
