,accuracy,dprime
airplane,0.0033470928845250004,0.1718746105733584
bear,0.06626949527235,0.6692400509549743
bicycle,0.075329950522975,1.0066548874143288
bird,0.0277800779049625,0.4409569327051428
boat,0.0109548203985375,0.09374127538155674
bottle,0.367057495286625,0.4230478057309468
car,0.09015160297703749,0.9704527450755798
cat,0.12420513560025,0.6987769604551801
chair,0.21073548418750004,0.7052551748257214
clock,0.7321443235875,1.3610132556209469
dog,0.057803401063075,0.5355816436478409
elephant,0.02846290536525,0.657837781112875
keyboard,0.08743213576075,0.799178381178987
knife,0.28190074880612503,0.25878879305243585
oven,0.1498835110825,0.7856316461856365
truck,0.1878103220335,1.0899066375809718
