,unique_img,object_response,category
0,cat1.png,knife,cat
1,cat2.png,knife,cat
2,cat3.png,knife,cat
3,cat7.png,knife,cat
4,cat6.png,knife,cat
5,cat10.png,knife,cat
6,cat4.png,knife,cat
7,cat5.png,knife,cat
8,cat8.png,knife,cat
9,cat9.png,knife,cat
10,car2.png,clock,car
11,car3.png,knife,car
12,car1.png,knife,car
13,car4.png,knife,car
14,car5.png,knife,car
15,car7.png,knife,car
16,car6.png,clock,car
17,car10.png,knife,car
18,car8.png,clock,car
19,car9.png,knife,car
20,dog5.png,knife,dog
21,dog10.png,knife,dog
22,dog4.png,knife,dog
23,dog6.png,knife,dog
24,dog7.png,knife,dog
25,dog3.png,knife,dog
26,dog2.png,knife,dog
27,dog1.png,knife,dog
28,dog9.png,knife,dog
29,dog8.png,knife,dog
30,bear9.png,knife,bear
31,bear8.png,knife,bear
32,bear5.png,knife,bear
33,bear4.png,knife,bear
34,bear6.png,knife,bear
35,bear10.png,clock,bear
36,bear7.png,knife,bear
37,bear3.png,knife,bear
38,bear2.png,knife,bear
39,bear1.png,knife,bear
40,boat8.png,knife,boat
41,boat9.png,knife,boat
42,boat10.png,knife,boat
43,boat4.png,clock,boat
44,boat5.png,clock,boat
45,boat7.png,knife,boat
46,boat6.png,knife,boat
47,boat2.png,knife,boat
48,boat3.png,knife,boat
49,boat1.png,knife,boat
50,oven10.png,knife,oven
51,oven6.png,knife,oven
52,oven7.png,clock,oven
53,oven5.png,knife,oven
54,oven4.png,knife,oven
55,oven1.png,clock,oven
56,oven3.png,knife,oven
57,oven2.png,clock,oven
58,oven9.png,knife,oven
59,oven8.png,clock,oven
60,chair6.png,chair,chair
61,chair7.png,knife,chair
62,chair5.png,clock,chair
63,chair10.png,clock,chair
64,chair4.png,knife,chair
65,chair1.png,knife,chair
66,chair3.png,knife,chair
67,chair2.png,clock,chair
68,chair9.png,knife,chair
69,chair8.png,chair,chair
70,truck8.png,knife,truck
71,truck10.png,knife,truck
72,truck9.png,clock,truck
73,truck1.png,clock,truck
74,truck2.png,knife,truck
75,truck3.png,knife,truck
76,truck7.png,clock,truck
77,truck6.png,knife,truck
78,truck4.png,knife,truck
79,truck5.png,knife,truck
80,bird8.png,knife,bird
81,bird9.png,knife,bird
82,bird10.png,knife,bird
83,bird1.png,knife,bird
84,bird2.png,knife,bird
85,bird3.png,knife,bird
86,bird7.png,knife,bird
87,bird6.png,knife,bird
88,bird4.png,knife,bird
89,bird5.png,knife,bird
90,airplane9.png,knife,airplane
91,airplane8.png,knife,airplane
92,airplane10.png,knife,airplane
93,airplane1.png,clock,airplane
94,airplane3.png,knife,airplane
95,airplane2.png,knife,airplane
96,airplane6.png,clock,airplane
97,airplane7.png,knife,airplane
98,airplane5.png,clock,airplane
99,airplane4.png,knife,airplane
100,bicycle8.png,clock,bicycle
101,bicycle9.png,knife,bicycle
102,bicycle4.png,clock,bicycle
103,bicycle5.png,clock,bicycle
104,bicycle7.png,clock,bicycle
105,bicycle6.png,knife,bicycle
106,bicycle2.png,knife,bicycle
107,bicycle3.png,knife,bicycle
108,bicycle1.png,knife,bicycle
109,bicycle10.png,knife,bicycle
110,bottle1.png,knife,bottle
111,bottle10.png,knife,bottle
112,bottle2.png,knife,bottle
113,bottle3.png,knife,bottle
114,bottle7.png,knife,bottle
115,bottle6.png,knife,bottle
116,bottle4.png,knife,bottle
117,bottle5.png,knife,bottle
118,bottle8.png,knife,bottle
119,bottle9.png,knife,bottle
120,keyboard5.png,keyboard,keyboard
121,keyboard4.png,knife,keyboard
122,keyboard6.png,knife,keyboard
123,keyboard7.png,knife,keyboard
124,keyboard3.png,knife,keyboard
125,keyboard2.png,knife,keyboard
126,keyboard1.png,knife,keyboard
127,keyboard9.png,knife,keyboard
128,keyboard8.png,keyboard,keyboard
129,keyboard10.png,knife,keyboard
130,clock2.png,clock,clock
131,clock10.png,knife,clock
132,clock3.png,clock,clock
133,clock1.png,clock,clock
134,clock4.png,clock,clock
135,clock5.png,clock,clock
136,clock7.png,clock,clock
137,clock6.png,clock,clock
138,clock8.png,clock,clock
139,clock9.png,clock,clock
140,knife5.png,clock,knife
141,knife4.png,knife,knife
142,knife6.png,clock,knife
143,knife7.png,knife,knife
144,knife3.png,clock,knife
145,knife2.png,knife,knife
146,knife1.png,knife,knife
147,knife9.png,knife,knife
148,knife8.png,clock,knife
149,knife10.png,knife,knife
150,elephant9.png,knife,elephant
151,elephant8.png,knife,elephant
152,elephant6.png,knife,elephant
153,elephant7.png,knife,elephant
154,elephant5.png,knife,elephant
155,elephant4.png,knife,elephant
156,elephant1.png,knife,elephant
157,elephant3.png,knife,elephant
158,elephant2.png,knife,elephant
159,elephant10.png,knife,elephant
