,accuracy,dprime
airplane,0.022830161669999998,0.5546632882244766
bear,0.0207120933,0.32465005088634546
bicycle,0.0437713436,0.29260281342333117
bird,0.01109719188,0.060381751593336475
boat,0.033601317410000005,0.9591968591106417
bottle,0.0415997606,0.08678678642241322
car,0.009892593080000001,0.31234902718186497
cat,0.0331245873,0.14934444514976697
chair,0.2309911761,1.121380492194708
clock,0.853301141,1.7629880451096787
dog,0.00616927554,0.028280932962882144
elephant,0.009427720599999998,0.21970025951048022
keyboard,0.1952029987,1.241095567550421
knife,0.465986814,-0.12472681462927523
oven,0.0037387945735000002,-0.0645634441063021
truck,0.00720807534,0.1914549811766766
