,unique_img,object_response,category
0,cat1.png,knife,cat
1,cat2.png,clock,cat
2,cat3.png,knife,cat
3,cat7.png,clock,cat
4,cat6.png,clock,cat
5,cat10.png,knife,cat
6,cat4.png,knife,cat
7,cat5.png,knife,cat
8,cat8.png,knife,cat
9,cat9.png,clock,cat
10,car2.png,clock,car
11,car3.png,clock,car
12,car1.png,clock,car
13,car4.png,knife,car
14,car5.png,chair,car
15,car7.png,knife,car
16,car6.png,clock,car
17,car10.png,knife,car
18,car8.png,knife,car
19,car9.png,clock,car
20,dog5.png,knife,dog
21,dog10.png,knife,dog
22,dog4.png,knife,dog
23,dog6.png,knife,dog
24,dog7.png,clock,dog
25,dog3.png,clock,dog
26,dog2.png,knife,dog
27,dog1.png,clock,dog
28,dog9.png,knife,dog
29,dog8.png,knife,dog
30,bear9.png,clock,bear
31,bear8.png,chair,bear
32,bear5.png,knife,bear
33,bear4.png,knife,bear
34,bear6.png,clock,bear
35,bear10.png,knife,bear
36,bear7.png,clock,bear
37,bear3.png,knife,bear
38,bear2.png,chair,bear
39,bear1.png,knife,bear
40,boat8.png,knife,boat
41,boat9.png,knife,boat
42,boat10.png,chair,boat
43,boat4.png,knife,boat
44,boat5.png,knife,boat
45,boat7.png,chair,boat
46,boat6.png,knife,boat
47,boat2.png,knife,boat
48,boat3.png,chair,boat
49,boat1.png,chair,boat
50,oven10.png,clock,oven
51,oven6.png,chair,oven
52,oven7.png,chair,oven
53,oven5.png,chair,oven
54,oven4.png,clock,oven
55,oven1.png,clock,oven
56,oven3.png,clock,oven
57,oven2.png,chair,oven
58,oven9.png,knife,oven
59,oven8.png,knife,oven
60,chair6.png,chair,chair
61,chair7.png,chair,chair
62,chair5.png,clock,chair
63,chair10.png,clock,chair
64,chair4.png,chair,chair
65,chair1.png,clock,chair
66,chair3.png,chair,chair
67,chair2.png,chair,chair
68,chair9.png,clock,chair
69,chair8.png,chair,chair
70,truck8.png,clock,truck
71,truck10.png,clock,truck
72,truck9.png,clock,truck
73,truck1.png,clock,truck
74,truck2.png,clock,truck
75,truck3.png,clock,truck
76,truck7.png,clock,truck
77,truck6.png,knife,truck
78,truck4.png,clock,truck
79,truck5.png,clock,truck
80,bird8.png,chair,bird
81,bird9.png,chair,bird
82,bird10.png,knife,bird
83,bird1.png,chair,bird
84,bird2.png,knife,bird
85,bird3.png,knife,bird
86,bird7.png,clock,bird
87,bird6.png,knife,bird
88,bird4.png,knife,bird
89,bird5.png,knife,bird
90,airplane9.png,knife,airplane
91,airplane8.png,knife,airplane
92,airplane10.png,knife,airplane
93,airplane1.png,clock,airplane
94,airplane3.png,knife,airplane
95,airplane2.png,knife,airplane
96,airplane6.png,knife,airplane
97,airplane7.png,clock,airplane
98,airplane5.png,clock,airplane
99,airplane4.png,clock,airplane
100,bicycle8.png,knife,bicycle
101,bicycle9.png,knife,bicycle
102,bicycle4.png,knife,bicycle
103,bicycle5.png,chair,bicycle
104,bicycle7.png,chair,bicycle
105,bicycle6.png,clock,bicycle
106,bicycle2.png,knife,bicycle
107,bicycle3.png,knife,bicycle
108,bicycle1.png,clock,bicycle
109,bicycle10.png,knife,bicycle
110,bottle1.png,clock,bottle
111,bottle10.png,clock,bottle
112,bottle2.png,clock,bottle
113,bottle3.png,knife,bottle
114,bottle7.png,knife,bottle
115,bottle6.png,knife,bottle
116,bottle4.png,knife,bottle
117,bottle5.png,clock,bottle
118,bottle8.png,clock,bottle
119,bottle9.png,clock,bottle
120,keyboard5.png,knife,keyboard
121,keyboard4.png,chair,keyboard
122,keyboard6.png,clock,keyboard
123,keyboard7.png,clock,keyboard
124,keyboard3.png,clock,keyboard
125,keyboard2.png,knife,keyboard
126,keyboard1.png,clock,keyboard
127,keyboard9.png,chair,keyboard
128,keyboard8.png,clock,keyboard
129,keyboard10.png,knife,keyboard
130,clock2.png,clock,clock
131,clock10.png,knife,clock
132,clock3.png,clock,clock
133,clock1.png,clock,clock
134,clock4.png,clock,clock
135,clock5.png,clock,clock
136,clock7.png,clock,clock
137,clock6.png,clock,clock
138,clock8.png,clock,clock
139,clock9.png,clock,clock
140,knife5.png,clock,knife
141,knife4.png,knife,knife
142,knife6.png,knife,knife
143,knife7.png,knife,knife
144,knife3.png,knife,knife
145,knife2.png,clock,knife
146,knife1.png,knife,knife
147,knife9.png,knife,knife
148,knife8.png,knife,knife
149,knife10.png,knife,knife
150,elephant9.png,knife,elephant
151,elephant8.png,knife,elephant
152,elephant6.png,clock,elephant
153,elephant7.png,clock,elephant
154,elephant5.png,knife,elephant
155,elephant4.png,clock,elephant
156,elephant1.png,knife,elephant
157,elephant3.png,knife,elephant
158,elephant2.png,knife,elephant
159,elephant10.png,knife,elephant
