,accuracy,dprime
airplane,0.009864619100000001,-0.021281721156325872
bear,0.0144574469,-0.08926819837784672
bicycle,0.019306161500000002,-0.0022008742882229093
bird,0.0154780549,0.07357248008187423
boat,0.00330772398,0.11013144647170137
bottle,0.0873646607,0.1721287333071917
car,0.01149515775,0.03258186791776385
cat,0.059802432800000006,0.14733765185402814
chair,0.193383036,0.49503216464098254
clock,0.43828612799999994,0.5900632966687751
dog,0.010084189400000002,0.014758033009867333
elephant,0.0139065508,-0.02718731223582438
keyboard,0.0391264611,-0.1257348142522201
knife,0.527556957,0.35268039203525836
oven,0.00599386328,0.02984326753231281
truck,0.00523021759,0.060611766451447835
