,accuracy,dprime
airplane,0.004228622540000001,0.2083381354578795
bear,0.00249979145,0.004429357256718891
bicycle,0.0026991973550000003,-0.03833972317307843
bird,0.023982356753,0.8903627337112971
boat,0.0036087143099999995,0.2653202975738487
bottle,0.0269230342,-0.13793300870128133
car,0.001197288552,0.08922743075716921
cat,0.030282826500000005,0.0194544890018451
chair,0.3597675388,1.3282400302636619
clock,0.6853304240000001,1.6125099845015012
dog,0.004669366350000001,0.023710404418033182
elephant,0.002210669507,0.03578368067304494
keyboard,0.05974378062,0.585176005949174
knife,0.76073569,0.30159432570821554
oven,0.001163746542,-0.0382031593260983
truck,0.000838071277,0.11245858505988826
