,accuracy,dprime
airplane1.png,0.9801464,4.738796260914857
airplane10.png,0.85528517,3.741387875298585
airplane2.png,0.91436243,4.050132268464613
airplane3.png,0.79062355,3.490600988389035
airplane4.png,0.99748385,5.0
airplane5.png,0.87359643,3.8255718920595987
airplane6.png,0.99489444,5.0
airplane7.png,0.9951706,5.0
airplane8.png,0.9990213,5.0
airplane9.png,0.45861277,2.5780850651009484
bear1.png,0.99985915,5.0
bear10.png,0.99909955,5.0
bear2.png,0.9999563,5.0
bear3.png,0.99972457,5.0
bear4.png,0.99961585,5.0
bear5.png,0.99999815,5.0
bear6.png,0.9417333,3.9914290317259473
bear7.png,0.999996,5.0
bear8.png,0.99998915,5.0
bear9.png,0.99997824,5.0
bicycle1.png,0.9907831,5.0
bicycle10.png,0.8307922,4.063058636687698
bicycle2.png,0.9027632,4.403216268143958
bicycle3.png,0.99986374,5.0
bicycle4.png,0.992933,5.0
bicycle5.png,0.99101174,5.0
bicycle6.png,0.99934024,5.0
bicycle7.png,0.8966408,4.3683986474393635
bicycle8.png,0.9997615,5.0
bicycle9.png,0.64883804,3.4879434368952964
bird1.png,0.99477273,5.0
bird10.png,0.113389775,1.4310365685080444
bird2.png,0.96249354,4.420118187759769
bird3.png,0.9551149,4.3363440042342685
bird4.png,0.7917101,3.4521020764229924
bird5.png,0.83924925,3.6311099069210764
bird6.png,0.91411966,4.006301085267239
bird7.png,0.75873375,3.3419680474360844
bird8.png,0.785453,3.4304758145300105
bird9.png,0.9894373,4.945468641983948
boat1.png,0.97368723,4.466529885519805
boat10.png,0.99175745,4.9265436640419225
boat2.png,0.9992346,5.0
boat3.png,0.5498926,2.6539388859839126
boat4.png,0.676233,2.9857395557148396
boat5.png,0.11204622,1.3128310774849066
boat6.png,0.8747414,3.6776429341854056
boat7.png,0.23787187,1.815384007335212
boat8.png,0.79237324,3.343232346219914
boat9.png,0.1314726,1.409091820421887
bottle1.png,0.9983821,5.0
bottle10.png,0.9999542,5.0
bottle2.png,0.99939215,5.0
bottle3.png,0.9832848,4.456739779034545
bottle4.png,0.9958027,4.965636398472341
bottle5.png,0.99949485,5.0
bottle6.png,0.76678544,3.0581653063272944
bottle7.png,0.99748695,5.0
bottle8.png,0.99898523,5.0
bottle9.png,0.9738711,4.270867865623995
car1.png,0.8472952,3.6669195696602035
car10.png,0.9909175,5.0
car2.png,0.95643973,4.352804388079143
car3.png,0.81714207,3.5465452378620497
car4.png,0.74084586,3.2879732659553818
car5.png,0.9741276,4.5872687319931345
car6.png,0.89581394,3.9000722259898795
car7.png,0.37697336,2.3285783513296985
car8.png,0.8024186,3.492309861959943
car9.png,0.9658292,4.464765708599179
cat1.png,0.9984859,5.0
cat10.png,0.9355618,4.254292969484303
cat2.png,0.28297636,2.1617230455860486
cat3.png,0.9995141,5.0
cat4.png,0.6079073,3.0096141962862157
cat5.png,0.99971867,5.0
cat6.png,0.99988014,5.0
cat7.png,0.97215855,4.649254507809655
cat8.png,0.8043547,3.5930245340122067
cat9.png,0.7748626,3.490702304276829
chair1.png,0.8300874,3.2821805470917336
chair10.png,0.9479788,3.9532340374612467
chair2.png,0.9996938,5.0
chair3.png,0.9993704,5.0
chair4.png,0.99762154,5.0
chair5.png,0.9942092,4.8523124763215595
chair6.png,0.9995458,5.0
chair7.png,0.91074216,3.6730091793626554
chair8.png,0.9927974,4.774666950804033
chair9.png,0.71291345,2.889586078499642
clock1.png,0.99999934,5.0
clock10.png,0.99414074,4.209725119960984
clock2.png,0.9998625,5.0
clock3.png,0.99973243,5.0
clock4.png,0.99999213,5.0
clock5.png,0.9998693,5.0
clock6.png,0.99999493,5.0
clock7.png,0.999999,5.0
clock8.png,0.99987006,5.0
clock9.png,0.99996895,5.0
dog1.png,0.9943325,5.0
dog10.png,0.9986194,5.0
dog2.png,0.3807512,2.4665619661784133
dog3.png,0.73697096,3.404105275870659
dog4.png,0.99182683,5.0
dog5.png,0.96053267,4.52697157543692
dog6.png,0.8935794,4.015861249590223
dog7.png,0.9713165,4.670574508245318
dog8.png,0.9989955,5.0
dog9.png,0.99947274,5.0
elephant1.png,0.95544946,4.902785937461058
elephant10.png,0.8490084,4.23481707261342
elephant2.png,0.9976085,5.0
elephant3.png,0.9479646,4.828058034800989
elephant4.png,0.9835293,5.0
elephant5.png,0.99997145,5.0
elephant6.png,0.9997045,5.0
elephant7.png,0.99591696,5.0
elephant8.png,0.97601765,5.0
elephant9.png,0.9999836,5.0
keyboard1.png,0.16695237,1.548631838079134
keyboard10.png,0.9916788,4.909424719091868
keyboard2.png,0.6556334,2.9154853437019224
keyboard3.png,0.024170436,0.5405509727030049
keyboard4.png,0.57529193,2.7047739833368736
keyboard5.png,0.92437893,3.9500683263801264
keyboard6.png,0.24484502,1.8241086386036147
keyboard7.png,0.96230286,4.292968842398711
keyboard8.png,0.9924225,4.9435642401751
keyboard9.png,0.92703265,3.968952404511155
knife1.png,0.74770623,2.6581293862734543
knife10.png,0.9975169,4.800058405546346
knife2.png,0.8521555,3.0365632399853895
knife3.png,0.27817124,1.4025575558364074
knife4.png,0.94241303,3.5661979055853505
knife5.png,0.67423636,2.4424818521017015
knife6.png,0.9582855,3.721968017424397
knife7.png,0.9938729,4.4955787419730155
knife8.png,0.9836526,4.126651640432675
knife9.png,0.9966768,4.704901002156141
oven1.png,0.993932,5.0
oven10.png,0.9999983,5.0
oven2.png,0.45690876,2.4146821792136564
oven3.png,0.9980067,5.0
oven4.png,0.88589925,3.7279114614201365
oven5.png,0.77908856,3.2920254398239037
oven6.png,0.99485517,5.0
oven7.png,0.10124848,1.2484369686219496
oven8.png,0.9957694,5.0
oven9.png,0.955664,4.225351689444934
truck1.png,0.99920493,5.0
truck10.png,0.78094316,3.3373623002105637
truck2.png,0.9786744,4.589089464424724
truck3.png,0.9058543,3.877630239296413
truck4.png,0.99189764,4.966251611555904
truck5.png,0.9820221,4.659406733862561
truck6.png,0.89742714,3.8290065768638093
truck7.png,0.9995012,5.0
truck8.png,0.6769693,3.021220409957043
truck9.png,0.9838373,4.702343335642619
