,accuracy,dprime
airplane,0.885919694,3.8871248482980265
bear,0.993995026,4.9337891769231526
bicycle,0.925272756,4.547219129567662
bird,0.8104474005,3.5192790443069804
boat,0.6339310210000001,2.870831840237397
bottle,0.9713439520000001,4.230786952900863
car,0.8367803060000002,3.62332895225282
cat,0.8375420119999999,3.7201512369200964
chair,0.938495995,3.8699397975452765
clock,0.9993429379999998,4.902093333679461
dog,0.89263977,4.010759967405846
elephant,0.970515442,5.0
keyboard,0.6464708896,2.8907204495687067
knife,0.842468706,2.9954962315116047
oven,0.8161370620000001,3.423648109435378
truck,0.9196331469999999,3.9645880098555537
