,accuracy,dprime
airplane1.png,0.9227706,3.6975290106097627
airplane10.png,0.13908264,1.1891214952254174
airplane2.png,0.36451203,1.9271475548933084
airplane3.png,0.17950864,1.3563323397405522
airplane4.png,0.35464424,1.9007597426629814
airplane5.png,0.9132067,3.634340916985918
airplane6.png,0.99625736,4.948017730463998
airplane7.png,0.9724751,4.192054562030306
airplane8.png,0.62123305,2.5822924226447515
airplane9.png,0.2597811,1.629551187658924
bear1.png,0.99305296,4.981870670489492
bear10.png,0.8634244,3.6177149627314407
bear2.png,0.9833898,4.651289887032627
bear3.png,0.34000307,2.1094256946955934
bear4.png,0.67626506,2.9791603386789607
bear5.png,0.9933827,4.99927367482743
bear6.png,0.64620805,2.8969833998277066
bear7.png,0.999478,5.0
bear8.png,0.99338704,4.999507796626437
bear9.png,0.99451107,5.0
bicycle1.png,0.8765765,3.9949445696931436
bicycle10.png,0.74251956,3.488035443438342
bicycle2.png,0.13745375,1.745072070738051
bicycle3.png,0.8278038,3.782424909053349
bicycle4.png,0.96086574,4.597724910449931
bicycle5.png,0.9177295,4.2268629012812085
bicycle6.png,0.23060502,2.100047012590688
bicycle7.png,0.89634115,4.097878250509746
bicycle8.png,0.99067974,5.0
bicycle9.png,0.6150306,3.12935777118971
bird1.png,0.83164626,3.5449197173042566
bird10.png,0.034835313,0.7701824450874728
bird2.png,0.6230715,2.897786250515956
bird3.png,0.4709771,2.5114146503940966
bird4.png,0.2017319,1.7487775182471785
bird5.png,0.9983498,5.0
bird6.png,0.026408652,0.6478169145143831
bird7.png,0.88895226,3.8052035772223576
bird8.png,0.9647065,4.39235387138266
bird9.png,0.975299,4.549334306115794
boat1.png,0.13809896,1.7908874185532706
boat10.png,0.32437107,2.424277242085812
boat2.png,0.6454475,3.2528459409188915
boat3.png,0.0654245,1.369025178010507
boat4.png,0.018121922,0.785606393075446
boat5.png,0.07978599,1.4732750167663207
boat6.png,0.6584097,3.2879143488491986
boat7.png,0.07384512,1.4320492179769952
boat8.png,0.36652955,2.53872848121371
boat9.png,0.313872,2.394882941680247
bottle1.png,0.7011643,3.0007504919520844
bottle10.png,0.9907772,4.82954806477108
bottle2.png,0.956401,4.183365540606527
bottle3.png,0.881665,3.6563495543427122
bottle4.png,0.40308,2.227615522981618
bottle5.png,0.97099674,4.368647029007617
bottle6.png,0.72583234,3.073254858502663
bottle7.png,0.56875473,2.6462030683931523
bottle8.png,0.92842585,3.93716547127228
bottle9.png,0.42489454,2.283610829873482
car1.png,0.771548,3.4046649001219382
car10.png,0.65259826,3.053055177734148
car2.png,0.4151335,2.4463512531810134
car3.png,0.6045885,2.92595245090506
car4.png,0.8663793,3.7701481112638815
car5.png,0.48890606,2.632898427808896
car6.png,0.39159927,2.385557195714884
car7.png,0.6180517,2.961078225671315
car8.png,0.89407843,3.9092236988977875
car9.png,0.57189476,2.8419105425355053
cat1.png,0.999305,5.0
cat10.png,0.9480267,3.708007678461282
cat2.png,0.7205625,2.666506645107218
cat3.png,0.539831,2.1820012832147753
cat4.png,0.7801896,2.854827026390001
cat5.png,0.9937379,4.579013012207869
cat6.png,0.999821,5.0
cat7.png,0.9662094,3.909782480503246
cat8.png,0.8174772,2.9877859884955478
cat9.png,0.5402277,2.183000697905429
chair1.png,0.972869,3.498781602487872
chair10.png,0.96969396,3.4503571501229438
chair2.png,0.99815667,4.47784039858739
chair3.png,0.9990878,4.691464802249465
chair4.png,0.99870676,4.5870787258312875
chair5.png,0.9391978,3.1221167892273143
chair6.png,0.9994624,4.844114751125123
chair7.png,0.9210962,2.9865261075572564
chair8.png,0.9965547,4.276128148451966
chair9.png,0.98528105,3.7516146673923085
clock1.png,0.9997875,4.818732037313122
clock10.png,0.93031526,2.772822617179013
clock2.png,0.99998873,5.0
clock3.png,0.99999964,5.0
clock4.png,0.9999999,5.0
clock5.png,0.999903,5.0
clock6.png,0.9993497,4.51052685314739
clock7.png,0.99996495,5.0
clock8.png,0.9999488,5.0
clock9.png,0.9999255,5.0
dog1.png,0.9428671,3.7198512854484864
dog10.png,0.9967988,4.866972491757464
dog2.png,0.8663293,3.2497507347571313
dog3.png,0.59872115,2.3905832478393254
dog4.png,0.9990604,5.0
dog5.png,0.99753743,4.952434538849516
dog6.png,0.9942529,4.667848791161667
dog7.png,0.97121525,4.0395066995453766
dog8.png,0.99976933,5.0
dog9.png,0.9948067,4.703230697436756
elephant1.png,0.9659439,4.462101314364289
elephant10.png,0.9199899,4.04284113811568
elephant2.png,0.8980826,3.9085391855224167
elephant3.png,0.98793066,4.892752266777482
elephant4.png,0.99866265,5.0
elephant5.png,0.9996782,5.0
elephant6.png,0.99372894,5.0
elephant7.png,0.99928606,5.0
elephant8.png,0.99826807,5.0
elephant9.png,0.99988705,5.0
keyboard1.png,0.4064962,2.2267324636159467
keyboard10.png,0.71188205,3.0221911915458857
keyboard2.png,0.28714067,1.901542509878174
keyboard3.png,0.07429653,1.0187809552125728
keyboard4.png,0.2840428,1.892426682595879
keyboard5.png,0.5116035,2.4923896442305513
keyboard6.png,0.6238156,2.7788173361443875
keyboard7.png,0.21898936,1.6876889087973637
keyboard8.png,0.94294477,4.043284189476477
keyboard9.png,0.8558979,3.5253692379051667
knife1.png,0.20086978,1.015328851485086
knife10.png,0.99650884,4.551533670855899
knife2.png,0.2724614,1.2484617298086682
knife3.png,0.46872255,1.775365923332434
knife4.png,0.6036749,2.1167181073574275
knife5.png,0.92970526,3.327446766235677
knife6.png,0.8898995,3.079841176821632
knife7.png,0.42096862,1.6544312199988813
knife8.png,0.92775136,3.313093835382726
knife9.png,0.9283238,3.317267681807129
oven1.png,0.7823292,3.261938274396564
oven10.png,0.99865586,5.0
oven2.png,0.2658732,1.8565122219530803
oven3.png,0.66149557,2.898402818479256
oven4.png,0.6144123,2.7726923233673197
oven5.png,0.50743455,2.500491289231695
oven6.png,0.7152963,3.0507790247697746
oven7.png,0.88411325,3.6776574161598736
oven8.png,0.8445275,3.4950956853537622
oven9.png,0.8912377,3.714991705108872
truck1.png,0.9991749,5.0
truck10.png,0.7612759,3.0214156214939347
truck2.png,0.95896953,4.049854040458779
truck3.png,0.54370064,2.4207640951615397
truck4.png,0.87572,3.464856916333495
truck5.png,0.92393917,3.743080281254059
truck6.png,0.4747364,2.247634001669989
truck7.png,0.7731238,3.0601767378607714
truck8.png,0.38426328,2.0167000759672904
truck9.png,0.4305422,2.136008906961209
