,accuracy,dprime
airplane1.png,0.77991176,3.6378377877636834
airplane10.png,0.8496119,3.900712845104431
airplane2.png,0.9179416,4.257300863271052
airplane3.png,0.95502585,4.561613043853049
airplane4.png,0.999168,5.0
airplane5.png,0.99135274,5.0
airplane6.png,0.9985517,5.0
airplane7.png,0.99861634,5.0
airplane8.png,0.9913352,5.0
airplane9.png,0.21149552,2.0646996532096735
bear1.png,0.99973655,5.0
bear10.png,0.9349311,4.255398152789496
bear2.png,0.9999992,5.0
bear3.png,0.67647886,3.199714399063076
bear4.png,0.9823846,4.847535068777548
bear5.png,0.99999917,5.0
bear6.png,0.5703603,2.919130976912231
bear7.png,0.9999101,5.0
bear8.png,0.9992089,5.0
bear9.png,0.9992302,5.0
bicycle1.png,0.9791591,4.683825420252523
bicycle10.png,0.5406791,2.7492869553487256
bicycle2.png,0.70584214,3.1884206088473843
bicycle3.png,0.99772704,5.0
bicycle4.png,0.9997352,5.0
bicycle5.png,0.8035575,3.5015393328135587
bicycle6.png,0.9820228,4.744584979832595
bicycle7.png,0.87062097,3.776473627930387
bicycle8.png,0.98914874,4.94267658220675
bicycle9.png,0.85542506,3.707130621454087
bird1.png,0.9971583,5.0
bird10.png,0.06052984,1.1064339510081878
bird2.png,0.9979503,5.0
bird3.png,0.99998,5.0
bird4.png,0.8647247,3.758570469446708
bird5.png,0.9999822,5.0
bird6.png,0.8278355,3.6024213392584863
bird7.png,0.99944425,5.0
bird8.png,0.98027295,4.716194178345274
bird9.png,0.9999806,5.0
boat1.png,0.98977554,5.0
boat10.png,0.90104026,4.145704347088342
boat2.png,0.7691991,3.5944144744519626
boat3.png,0.5592468,3.0072625132025523
boat4.png,0.1265639,1.715417490280005
boat5.png,0.0089411205,0.4901551772287087
boat6.png,0.946035,4.465769857483865
boat7.png,0.073667996,1.4091969588116924
boat8.png,0.88106143,4.038512157216714
boat9.png,0.028505066,0.954969524583237
bottle1.png,0.86110693,3.4212051760193916
bottle10.png,0.99891585,5.0
bottle2.png,0.9889996,4.626253220915972
bottle3.png,0.9181686,3.728756940784235
bottle4.png,0.09450825,1.0224050319843654
bottle5.png,0.9952374,4.928504516650968
bottle6.png,0.8406357,3.3329731387373105
bottle7.png,0.86760944,3.4510608906282734
bottle8.png,0.98543054,4.517501143439647
bottle9.png,0.10061232,1.0578288551400463
car1.png,0.9817772,4.4165334916058505
car10.png,0.91725826,3.711475882972027
car2.png,0.80235946,3.1746918342627968
car3.png,0.8958822,3.583044582853139
car4.png,0.27797145,1.735734356210243
car5.png,0.96610415,4.151001597078082
car6.png,0.9383802,3.8659298989418733
car7.png,0.48955607,2.2984306381495676
car8.png,0.75183076,3.0048748389164537
car9.png,0.71371686,2.8888887267170436
cat1.png,0.998856,5.0
cat10.png,0.99859065,5.0
cat2.png,0.7771468,2.9061907131726548
cat3.png,0.999617,5.0
cat4.png,0.72661316,2.746199828362749
cat5.png,0.9998953,5.0
cat6.png,0.9999902,5.0
cat7.png,0.87484485,3.293194130185211
cat8.png,0.9128342,3.5020144933427186
cat9.png,0.8939107,3.391195326568075
chair1.png,0.6763602,2.705837448789141
chair10.png,0.71964204,2.8300712273283772
chair2.png,0.95061195,3.899109029964716
chair3.png,0.9969551,4.9911993979602585
chair4.png,0.9210487,3.660453642531423
chair5.png,0.7908218,3.057568788964878
chair6.png,0.9944257,4.78629900458156
chair7.png,0.83986944,3.2422142059600283
chair8.png,0.9974958,5.0
chair9.png,0.63340205,2.5891701475195568
clock1.png,0.999987,5.0
clock10.png,0.9832637,3.5278125081354657
clock2.png,0.99999636,5.0
clock3.png,0.9999958,5.0
clock4.png,0.99999917,5.0
clock5.png,0.9991659,4.5451553242780225
clock6.png,0.9994866,4.684522835072574
clock7.png,0.9998579,5.0
clock8.png,0.9999865,5.0
clock9.png,0.9995744,4.737029563251292
dog1.png,0.7667456,3.4410760295334435
dog10.png,0.9739306,4.654890800404606
dog2.png,0.814059,3.605858480305246
dog3.png,0.9303135,4.191034786770865
dog4.png,0.99993,5.0
dog5.png,0.6113039,2.99562390609239
dog6.png,0.97415406,4.6585957439324766
dog7.png,0.916963,4.097834424159316
dog8.png,0.99723834,5.0
dog9.png,0.99721456,5.0
elephant1.png,0.996346,5.0
elephant10.png,0.14464141,1.7866048291968095
elephant2.png,0.9989294,5.0
elephant3.png,0.9500207,4.491355422506418
elephant4.png,0.9944405,5.0
elephant5.png,0.99920255,5.0
elephant6.png,0.99975663,5.0
elephant7.png,0.9998883,5.0
elephant8.png,0.9999317,5.0
elephant9.png,0.9999757,5.0
keyboard1.png,0.4919845,2.426102594186916
keyboard10.png,0.96384376,4.243341602271798
keyboard2.png,0.29288992,1.9012340969045376
keyboard3.png,0.015958995,0.3007596580553429
keyboard4.png,0.8018241,3.294350564064168
keyboard5.png,0.9844002,4.600713466640924
keyboard6.png,0.21814914,1.6677365056537063
keyboard7.png,0.69286937,2.950195991579323
keyboard8.png,0.96403235,4.245723185002682
keyboard9.png,0.99275285,4.89096966556491
knife1.png,0.8114964,2.598773541113958
knife10.png,0.99999434,5.0
knife2.png,0.11818177,0.5312243743833522
knife3.png,0.30174682,1.195966425735171
knife4.png,0.9550014,3.410761969036087
knife5.png,0.99953914,5.0
knife6.png,0.9981963,4.625945598906174
knife7.png,0.99443066,4.253667242268699
knife8.png,0.9995755,5.0
knife9.png,0.99980897,5.0
oven1.png,0.13934925,2.02872566415059
oven10.png,0.9999994,5.0
oven2.png,0.013232089,0.8926418164382226
oven3.png,0.9994152,5.0
oven4.png,0.9891699,5.0
oven5.png,0.23935978,2.403609858875411
oven6.png,0.97228056,5.0
oven7.png,0.08040247,1.709603859807825
oven8.png,0.20973562,2.3046344157332803
oven9.png,0.7116669,3.6702343064825396
truck1.png,0.99651,5.0
truck10.png,0.51840717,2.6237879300804345
truck2.png,0.26496837,1.949529029243831
truck3.png,0.9575717,4.300808180594554
truck4.png,0.8041164,3.4340485501602975
truck5.png,0.98865026,4.856086659123044
truck6.png,0.8734795,3.720625811943061
truck7.png,0.9919003,4.982023434510582
truck8.png,0.19275303,1.7098356866414284
truck9.png,0.8756166,3.7309815047958876
