,accuracy,dprime
airplane,0.71102779,2.858016912727255
bear,0.5937877775,2.0185132573674935
bicycle,0.7937860507,3.333616981881508
bird,0.3936758777,1.826520669791712
boat,0.011443213429999998,0.7793598898894252
bottle,0.8892322479999999,3.1143430258330196
car,0.0045107665900000005,0.20724069624873787
cat,0.3741755971,1.7702569316055277
chair,0.5590938729920001,1.465271619063184
clock,0.5059512749999999,0.7178482670228583
dog,0.25798510919999995,1.4735568433556043
elephant,0.28714948716999994,1.5692674581480301
keyboard,0.01022141658,-0.19137201748086818
knife,0.5081801163399999,1.0672892210474791
oven,0.01230670924,0.062016581902549994
truck,0.032099792589999995,0.804824308564688
