,accuracy,dprime
airplane,0.15173730715999997,1.6298734865873434
bear,0.5440483548999999,1.458548437923501
bicycle,0.43376277109999994,2.6461999795484474
bird,0.26867439549,1.7697397914334614
boat,0.00773173549,0.4889870876709712
bottle,0.23309323200000004,1.3322940994123766
car,0.001030096262,0.07154323249709371
cat,0.1859844885,1.1361115969566427
chair,0.8351682329999999,2.162126663331074
clock,0.450884993,0.411828896900935
dog,0.19395969948,0.9806796474385588
elephant,0.6071583143000001,2.2929635830583663
keyboard,0.01190768354,0.2328852758864568
knife,0.35870833599999996,0.6499399486608135
oven,0.00429917005,0.2255009409030806
truck,0.0034405317759999996,0.3790044255085836
