,unique_img,object_response,category
0,cat1.png,cat,cat
1,cat2.png,knife,cat
2,cat3.png,knife,cat
3,cat7.png,cat,cat
4,cat6.png,cat,cat
5,cat10.png,knife,cat
6,cat4.png,cat,cat
7,cat5.png,clock,cat
8,cat8.png,cat,cat
9,cat9.png,clock,cat
10,car2.png,knife,car
11,car3.png,knife,car
12,car1.png,knife,car
13,car4.png,knife,car
14,car5.png,knife,car
15,car7.png,bottle,car
16,car6.png,knife,car
17,car10.png,bottle,car
18,car8.png,knife,car
19,car9.png,knife,car
20,dog5.png,elephant,dog
21,dog10.png,cat,dog
22,dog4.png,bear,dog
23,dog6.png,bear,dog
24,dog7.png,knife,dog
25,dog3.png,clock,dog
26,dog2.png,knife,dog
27,dog1.png,dog,dog
28,dog9.png,clock,dog
29,dog8.png,dog,dog
30,bear9.png,bear,bear
31,bear8.png,bear,bear
32,bear5.png,bear,bear
33,bear4.png,bear,bear
34,bear6.png,clock,bear
35,bear10.png,bear,bear
36,bear7.png,knife,bear
37,bear3.png,elephant,bear
38,bear2.png,bear,bear
39,bear1.png,bear,bear
40,boat8.png,knife,boat
41,boat9.png,clock,boat
42,boat10.png,knife,boat
43,boat4.png,knife,boat
44,boat5.png,clock,boat
45,boat7.png,knife,boat
46,boat6.png,knife,boat
47,boat2.png,knife,boat
48,boat3.png,clock,boat
49,boat1.png,knife,boat
50,oven10.png,knife,oven
51,oven6.png,knife,oven
52,oven7.png,clock,oven
53,oven5.png,clock,oven
54,oven4.png,clock,oven
55,oven1.png,clock,oven
56,oven3.png,knife,oven
57,oven2.png,clock,oven
58,oven9.png,knife,oven
59,oven8.png,knife,oven
60,chair6.png,chair,chair
61,chair7.png,clock,chair
62,chair5.png,clock,chair
63,chair10.png,chair,chair
64,chair4.png,chair,chair
65,chair1.png,clock,chair
66,chair3.png,clock,chair
67,chair2.png,chair,chair
68,chair9.png,clock,chair
69,chair8.png,chair,chair
70,truck8.png,clock,truck
71,truck10.png,clock,truck
72,truck9.png,knife,truck
73,truck1.png,knife,truck
74,truck2.png,bottle,truck
75,truck3.png,knife,truck
76,truck7.png,knife,truck
77,truck6.png,knife,truck
78,truck4.png,clock,truck
79,truck5.png,knife,truck
80,bird8.png,bird,bird
81,bird9.png,bird,bird
82,bird10.png,knife,bird
83,bird1.png,knife,bird
84,bird2.png,bear,bird
85,bird3.png,knife,bird
86,bird7.png,clock,bird
87,bird6.png,bird,bird
88,bird4.png,cat,bird
89,bird5.png,bird,bird
90,airplane9.png,airplane,airplane
91,airplane8.png,airplane,airplane
92,airplane10.png,airplane,airplane
93,airplane1.png,clock,airplane
94,airplane3.png,airplane,airplane
95,airplane2.png,knife,airplane
96,airplane6.png,airplane,airplane
97,airplane7.png,airplane,airplane
98,airplane5.png,airplane,airplane
99,airplane4.png,airplane,airplane
100,bicycle8.png,bicycle,bicycle
101,bicycle9.png,clock,bicycle
102,bicycle4.png,bicycle,bicycle
103,bicycle5.png,bicycle,bicycle
104,bicycle7.png,bicycle,bicycle
105,bicycle6.png,clock,bicycle
106,bicycle2.png,clock,bicycle
107,bicycle3.png,bicycle,bicycle
108,bicycle1.png,clock,bicycle
109,bicycle10.png,bicycle,bicycle
110,bottle1.png,bottle,bottle
111,bottle10.png,bottle,bottle
112,bottle2.png,bottle,bottle
113,bottle3.png,bottle,bottle
114,bottle7.png,bottle,bottle
115,bottle6.png,bottle,bottle
116,bottle4.png,bottle,bottle
117,bottle5.png,bottle,bottle
118,bottle8.png,bottle,bottle
119,bottle9.png,bottle,bottle
120,keyboard5.png,knife,keyboard
121,keyboard4.png,knife,keyboard
122,keyboard6.png,knife,keyboard
123,keyboard7.png,clock,keyboard
124,keyboard3.png,clock,keyboard
125,keyboard2.png,clock,keyboard
126,keyboard1.png,knife,keyboard
127,keyboard9.png,knife,keyboard
128,keyboard8.png,knife,keyboard
129,keyboard10.png,knife,keyboard
130,clock2.png,clock,clock
131,clock10.png,clock,clock
132,clock3.png,clock,clock
133,clock1.png,knife,clock
134,clock4.png,clock,clock
135,clock5.png,clock,clock
136,clock7.png,knife,clock
137,clock6.png,clock,clock
138,clock8.png,clock,clock
139,clock9.png,clock,clock
140,knife5.png,knife,knife
141,knife4.png,airplane,knife
142,knife6.png,knife,knife
143,knife7.png,knife,knife
144,knife3.png,clock,knife
145,knife2.png,knife,knife
146,knife1.png,knife,knife
147,knife9.png,knife,knife
148,knife8.png,knife,knife
149,knife10.png,knife,knife
150,elephant9.png,elephant,elephant
151,elephant8.png,clock,elephant
152,elephant6.png,bear,elephant
153,elephant7.png,elephant,elephant
154,elephant5.png,bear,elephant
155,elephant4.png,elephant,elephant
156,elephant1.png,elephant,elephant
157,elephant3.png,bottle,elephant
158,elephant2.png,bear,elephant
159,elephant10.png,knife,elephant
