,accuracy,dprime
airplane,0.1013381775,1.3469421017775822
bear,0.31583961930000004,1.333359889470173
bicycle,0.6144838709999999,2.9480712099804514
bird,0.16692167224999999,1.322674989741601
boat,0.00521966274,0.4159583984815942
bottle,0.13295959210000002,0.7842166569586606
car,0.0010234502610000002,0.0664329212362853
cat,0.24571512,1.1614745892022549
chair,0.796575583,2.377075306549892
clock,0.5987376449999999,1.0586782618709827
dog,0.06696547125999999,0.6571041016372385
elephant,0.1725758477,1.1766093064008656
keyboard,0.012866127429999999,0.14231313570337623
knife,0.7673350090000001,1.0704121945894278
oven,0.004916960251,0.2159604548937195
truck,0.0025315949640000003,0.308124367250469
