,accuracy,dprime
airplane1.png,0.0,0.0
airplane10.png,0.0,0.0
airplane2.png,0.0,0.0
airplane3.png,0.0,0.0
airplane4.png,0.0,0.0
airplane5.png,0.0,0.0
airplane6.png,0.0,0.0
airplane7.png,0.0,0.0
airplane8.png,0.0,0.0
airplane9.png,0.0,0.0
bear1.png,0.09999999999999998,0.5
bear10.png,0.09999999999999998,0.5
bear2.png,0.09999999999999998,0.5
bear3.png,0.09999999999999998,0.5
bear4.png,-0.9,-4.5
bear5.png,0.09999999999999998,0.5
bear6.png,0.09999999999999998,0.5
bear7.png,0.09999999999999998,0.5
bear8.png,0.09999999999999998,0.5
bear9.png,0.09999999999999998,0.5
bicycle1.png,0.0,0.0
bicycle10.png,0.0,0.0
bicycle2.png,0.0,0.0
bicycle3.png,0.0,0.0
bicycle4.png,0.0,0.0
bicycle5.png,0.0,0.0
bicycle6.png,0.0,0.0
bicycle7.png,0.0,0.0
bicycle8.png,0.0,0.0
bicycle9.png,0.0,0.0
bird1.png,0.09999999999999998,0.5
bird10.png,0.09999999999999998,0.5
bird2.png,0.09999999999999998,0.5
bird3.png,0.09999999999999998,0.5
bird4.png,-0.9,-4.5
bird5.png,0.09999999999999998,0.5
bird6.png,0.09999999999999998,0.5
bird7.png,0.09999999999999998,0.5
bird8.png,0.09999999999999998,0.5
bird9.png,0.09999999999999998,0.5
boat1.png,0.30000000000000004,1.5
boat10.png,0.30000000000000004,1.5
boat2.png,0.30000000000000004,1.5
boat3.png,0.30000000000000004,1.5
boat4.png,-0.7,-3.5
boat5.png,-0.7,-3.5
boat6.png,0.30000000000000004,1.5
boat7.png,0.30000000000000004,1.5
boat8.png,0.30000000000000004,1.5
boat9.png,-0.7,-3.5
bottle1.png,0.0,0.0
bottle10.png,0.0,0.0
bottle2.png,0.0,0.0
bottle3.png,0.0,0.0
bottle4.png,0.0,0.0
bottle5.png,0.0,0.0
bottle6.png,0.0,0.0
bottle7.png,0.0,0.0
bottle8.png,0.0,0.0
bottle9.png,0.0,0.0
car1.png,0.30000000000000004,1.5
car10.png,0.30000000000000004,1.5
car2.png,0.30000000000000004,1.5
car3.png,-0.7,-3.5
car4.png,-0.7,-3.5
car5.png,0.30000000000000004,1.5
car6.png,0.30000000000000004,1.5
car7.png,0.30000000000000004,1.5
car8.png,0.30000000000000004,1.5
car9.png,-0.7,-3.5
cat1.png,0.30000000000000004,3.0
cat10.png,-0.7,-7.0
cat2.png,0.30000000000000004,3.0
cat3.png,0.30000000000000004,3.0
cat4.png,0.30000000000000004,3.0
cat5.png,0.30000000000000004,3.0
cat6.png,0.30000000000000004,3.0
cat7.png,-0.7,-7.0
cat8.png,-0.7,-7.0
cat9.png,0.30000000000000004,3.0
chair1.png,0.0,0.0
chair10.png,0.0,0.0
chair2.png,0.0,0.0
chair3.png,0.0,0.0
chair4.png,0.0,0.0
chair5.png,0.0,0.0
chair6.png,0.0,0.0
chair7.png,0.0,0.0
chair8.png,0.0,0.0
chair9.png,0.0,0.0
clock1.png,0.0,0.0
clock10.png,0.0,0.0
clock2.png,0.0,0.0
clock3.png,0.0,0.0
clock4.png,0.0,0.0
clock5.png,0.0,0.0
clock6.png,0.0,0.0
clock7.png,0.0,0.0
clock8.png,0.0,0.0
clock9.png,0.0,0.0
dog1.png,0.0,0.0
dog10.png,0.0,0.0
dog2.png,0.0,0.0
dog3.png,0.0,0.0
dog4.png,0.0,0.0
dog5.png,0.0,0.0
dog6.png,0.0,0.0
dog7.png,0.0,0.0
dog8.png,0.0,0.0
dog9.png,0.0,0.0
elephant1.png,0.0,0.0
elephant10.png,0.0,0.0
elephant2.png,0.0,0.0
elephant3.png,0.0,0.0
elephant4.png,0.0,0.0
elephant5.png,0.0,0.0
elephant6.png,0.0,0.0
elephant7.png,0.0,0.0
elephant8.png,0.0,0.0
elephant9.png,0.0,0.0
keyboard1.png,-0.7,-3.5
keyboard10.png,0.30000000000000004,1.5
keyboard2.png,-0.7,-3.5
keyboard3.png,-0.7,-3.5
keyboard4.png,0.30000000000000004,1.5
keyboard5.png,0.30000000000000004,1.5
keyboard6.png,0.30000000000000004,1.5
keyboard7.png,0.30000000000000004,1.5
keyboard8.png,0.30000000000000004,1.5
keyboard9.png,0.30000000000000004,1.5
knife1.png,-0.6,-6.0
knife10.png,0.4,4.0
knife2.png,-0.6,-6.0
knife3.png,-0.6,-6.0
knife4.png,-0.6,-6.0
knife5.png,0.4,4.0
knife6.png,0.4,4.0
knife7.png,0.4,4.0
knife8.png,0.4,4.0
knife9.png,0.4,4.0
oven1.png,0.4,2.0
oven10.png,0.4,2.0
oven2.png,-0.6,-3.0
oven3.png,0.4,2.0
oven4.png,0.4,2.0
oven5.png,-0.6,-3.0
oven6.png,0.4,2.0
oven7.png,-0.6,-3.0
oven8.png,0.4,2.0
oven9.png,-0.6,-3.0
truck1.png,0.0,0.0
truck10.png,0.0,0.0
truck2.png,0.0,0.0
truck3.png,0.0,0.0
truck4.png,0.0,0.0
truck5.png,0.0,0.0
truck6.png,0.0,0.0
truck7.png,0.0,0.0
truck8.png,0.0,0.0
truck9.png,0.0,0.0
