,accuracy,dprime
airplane,0.51625,1.9756649045327357
bear,0.27,1.495545408152481
bicycle,0.775,3.134974762957083
bird,0.46374999999999994,1.576920638400485
boat,0.35750000000000004,1.457653090399668
bottle,0.89375,3.307403070823873
car,0.525,1.9471873522492595
cat,0.5175,1.5599566108189846
chair,0.6325000000000001,2.3837003647818493
clock,0.6825,3.9554575517444253
dog,0.4175,1.4309305104113583
elephant,0.4125,1.7151619701146021
keyboard,0.44625000000000004,1.7681693201397193
knife,0.6487499999999999,2.0357552407539443
oven,0.66375,2.3247537293499354
truck,0.69625,2.5760768682864454
