,accuracy,dprime
airplane,0.32,1.3844810596545383
bear,0.23374999999999999,1.0725653859903503
bicycle,0.5287499999999999,2.2313450862546937
bird,0.195,0.9239130598524247
boat,0.30999999999999994,1.0208857236250934
bottle,0.72375,2.3633810070596186
car,0.43875000000000003,1.5536974201357792
cat,0.3575,1.3553962350631188
chair,0.44125,1.6986048374717
clock,0.7125,3.2198734323238063
dog,0.35625,1.334863244575558
elephant,0.30625,1.1924168004111866
keyboard,0.41375,1.43507884600128
knife,0.39249999999999996,1.2653898053764818
oven,0.6224999999999999,2.132660002135097
truck,0.53875,2.036296075015454
