,accuracy,dprime
airplane,0.1447541530184389,0.5117714755783311
bear,0.1340356489998521,0.4638695695943127
bicycle,0.273442094253769,1.112057672479702
bird,0.12488053079330708,0.4208383781618199
boat,0.13506850869889603,0.4015102941371991
bottle,0.25763371232256754,1.0224083572812037
car,0.2120385907340096,0.7717931378089223
cat,0.17272212628595293,0.5971488321703443
chair,0.19829243713953473,0.781887429030417
clock,0.503769748340128,2.0712919124905254
dog,0.15561323819325476,0.5663254176057009
elephant,0.14936920226231445,0.540938574729996
keyboard,0.20927974009260647,0.8520721249197271
knife,0.15838917689397927,0.5277223138667357
oven,0.3025981314947421,1.1534624982418316
truck,0.261490460167115,1.0509882705362537
