,accuracy,dprime
airplane,0.25832581106515135,1.073376538897131
bear,0.21824350649752886,0.8559502116760533
bicycle,0.349504452245892,1.2852173157178115
bird,0.17171541487055944,0.5967024668502081
boat,0.13869613689181276,0.45393692867136615
bottle,0.440765794775216,1.6765385202694758
car,0.21604014362354063,0.7996674229601989
cat,0.2023440367740113,0.698157138386765
chair,0.2705196402320871,1.1064655842923328
clock,0.520109372131974,2.1433478801263455
dog,0.21765664475504307,0.8157710572461926
elephant,0.21172884491446892,0.8673903934215571
keyboard,0.22826632235854047,0.8984648063364268
knife,0.2558589684413164,0.9381003570246814
oven,0.38953912509205113,1.450243429477752
truck,0.38360971780872205,1.4564853253802093
