,accuracy,dprime
airplane,0.12799581050872802,0.43373666965943225
bear,0.10332191549241539,0.3204546539250439
bicycle,0.2117542806454003,0.6455525679118622
bird,0.08987462378107007,0.17774330986216147
boat,0.19215329769998785,0.7267742863886734
bottle,0.37353927724063396,1.5197044386322887
car,0.10174226767383512,0.36080742194435267
cat,0.11230497372336683,0.28684975719265826
chair,0.3371657789777964,1.2891698937729292
clock,0.4409144573798403,1.657515826218392
dog,0.07418267626781014,0.13469192752263304
elephant,0.08697373956441876,0.2257858406728015
keyboard,0.5895892620459199,1.923842940590025
knife,0.24087252510711554,0.9305370623558882
oven,0.13725854154676195,0.5740552626586735
truck,0.15608098046854135,0.6734121211492117
