,accuracy,dprime
airplane,0.8366296431049705,3.0980216651234387
bear,0.33815665607573464,1.2172687978760566
bicycle,0.9002437292039394,3.6779105416712694
bird,0.506266531747533,1.9239087920327795
boat,0.22226540634379485,1.0762782056806013
bottle,0.9343766076862812,3.586157765607078
car,0.39666383140953254,1.3865593582931501
cat,0.4279194412776269,1.6120373986943677
chair,0.8834945296961815,3.3467184806009547
clock,0.5984593989909626,2.4923224836921305
dog,0.5172877978219186,1.7457218535575407
elephant,0.542009831945179,1.991603675397095
keyboard,0.3699290565447882,1.445640186949639
knife,0.7052936801314353,2.449010804776309
oven,0.30321051960927436,1.3897220085265127
truck,0.26247115722584563,1.059957262328894
