,accuracy,dprime
airplane,0.6308490340784193,2.249171334489813
bear,0.24139346682466564,0.9250021159130134
bicycle,0.8715410807728767,3.501081517341882
bird,0.3497059425758197,1.4537031897366766
boat,0.29085123774129895,1.1475579629088317
bottle,0.8311628926545381,2.910533039730005
car,0.1515596579201519,0.6001853518622053
cat,0.38948795836418865,1.418489619849006
chair,0.7919023491814733,2.6427108688806675
clock,0.3357612406741827,1.513911838040042
dog,0.35601992852054537,1.4053161889096404
elephant,0.3989074048213661,1.4856716882870873
keyboard,0.26873009018599986,1.0418578071599462
knife,0.5659759344905615,1.9048332936802062
oven,0.19986596433445808,0.8502935839345845
truck,0.2952085700863972,1.2063359189443155
