,accuracy,dprime
airplane,0.829801390916109,2.80186089670777
bear,0.3898097618622705,1.352048101333649
bicycle,0.8920762825757265,3.483447739252481
bird,0.5122522425220815,1.8659628704775448
boat,0.2614305104641243,1.216875090778988
bottle,0.8470673555135727,3.1294410898321026
car,0.21089301415719092,0.938197991055714
cat,0.3986108700186014,1.634617767726514
chair,0.7181514170020818,2.500419624293704
clock,0.4366146843810565,1.855473556949741
dog,0.4179379233415238,1.6721929245240488
elephant,0.419997938380111,1.7527344053146812
keyboard,0.4118144144862891,1.4340910344869635
knife,0.5743748873472214,1.820472982724525
oven,0.18377682373858986,0.8186312172144741
truck,0.3424566312914248,1.2634456684208117
