,accuracy,dprime
airplane,0.31875,1.3821450649563083
bear,0.26125,1.2562014396481977
bicycle,0.60875,2.2997725723222615
bird,0.26999999999999996,0.927434654837867
boat,0.24500000000000002,0.9093843511207469
bottle,0.7837500000000001,2.622213715581786
car,0.34124999999999994,1.2960948061423148
cat,0.19625,0.8775082953287375
chair,0.33375,1.2459328424545826
clock,0.7162499999999999,3.3195186272620054
dog,0.2375,1.1263248344525494
elephant,0.36124999999999996,1.4023762305820153
keyboard,0.4875,1.4762240095824528
knife,0.5,1.6304804205924204
oven,0.6587500000000001,2.19566741038255
truck,0.54375,2.2843982432695995
