,accuracy,dprime
airplane,0.5974999999999999,2.2054215472763206
bear,0.42750000000000005,1.6411608867490777
bicycle,0.66875,2.5333915851724584
bird,0.3825,1.3715135575445285
boat,0.2325,0.9150236792852788
bottle,0.85875,3.1477805535780465
car,0.47874999999999995,1.796571690029374
cat,0.37625000000000003,1.3135594133825637
chair,0.5675000000000001,2.2466687487125276
clock,0.6737500000000001,3.2573256388845118
dog,0.36875,1.455584727861904
elephant,0.44749999999999995,1.5959541820013774
keyboard,0.495,1.5701220576105144
knife,0.5037499999999999,1.8581079106951461
oven,0.62625,2.201507838924188
truck,0.6625,2.668492206791606
