,accuracy,dprime
airplane,0.8,2.499542627633283
bear,0.0,-5.0
bicycle,0.7,2.137758907360343
bird,0.21000000000000002,1.0457586117508062
boat,0.32999999999999996,1.1734452289790687
bottle,0.8699999999999999,3.3626726926494817
car,0.63,1.8866269410336702
cat,0.6900000000000001,2.4732187755294004
chair,0.6399999999999999,2.4553862224155356
clock,0.8,5.0
dog,0.29,0.9224063086234977
elephant,0.37,1.7502466888225308
keyboard,0.8,2.8685796389300937
knife,0.55,2.6790947771091003
oven,0.36,1.8778227703594879
truck,0.5,1.735418720089909
