,accuracy,dprime
airplane,0.23016301512718199,0.8736070387020832
bear,0.16289278984069822,0.5869640258285076
bicycle,0.3152785094827414,1.135849778909886
bird,0.1489232615381479,0.5287372848779825
boat,0.27790665991604324,1.1088682369085499
bottle,0.6419049632549286,2.3589298796866163
car,0.16908601216971872,0.6250054527741291
cat,0.15405786827206608,0.5257557943426454
chair,0.4492651452124119,1.6262160905885736
clock,0.62539867952466,2.307379799480939
dog,0.12023178245872254,0.3832826101896665
elephant,0.16158313289284704,0.5927284987656345
keyboard,0.6286727470159532,2.325495899454832
knife,0.2857459117472172,1.1147136750728062
oven,0.24927345573902127,1.059023609771588
truck,0.19080221548676488,0.8014997275741929
