,accuracy,dprime
airplane,0.8800000000000001,3.5271084885574746
bear,0.59,1.7657438352252135
bicycle,0.9,3.224685316649667
bird,0.22999999999999998,1.4401307368760365
boat,0.65,5.0
bottle,1.0,5.0
car,0.7,2.2304439095970023
cat,0.68,2.0749466910147265
chair,0.8699999999999999,3.383520373525026
clock,0.63,2.931450211284258
dog,0.53,1.9463546241015324
elephant,0.63,2.7114130830334306
keyboard,0.99,5.0
knife,0.74,3.8520523158279354
oven,0.7100000000000001,2.879732593596514
truck,0.71,2.5190842133980036
