,accuracy,dprime
airplane1.png,0.0,-5.0
airplane10.png,0.1,0.5009549684089238
airplane2.png,0.2,0.94088530038061
airplane3.png,1.0,5.0
airplane4.png,0.9,3.0640580994981246
airplane5.png,0.5,1.7825065339535242
airplane6.png,1.0,5.0
airplane7.png,1.0,5.0
airplane8.png,0.6,2.035853637089324
airplane9.png,1.0,5.0
bear1.png,0.0,-5.0
bear10.png,0.1,1.0447963084962404
bear2.png,0.0,-5.0
bear3.png,0.0,-5.0
bear4.png,0.0,-5.0
bear5.png,0.0,-5.0
bear6.png,0.0,-5.0
bear7.png,0.0,-5.0
bear8.png,0.0,-5.0
bear9.png,0.1,1.0447963084962404
bicycle1.png,1.0,5.0
bicycle10.png,0.7,2.358315148523955
bicycle2.png,1.0,5.0
bicycle3.png,0.9,3.115466201360515
bicycle4.png,1.0,5.0
bicycle5.png,1.0,5.0
bicycle6.png,0.0,-5.0
bicycle7.png,1.0,5.0
bicycle8.png,0.9,3.115466201360515
bicycle9.png,1.0,5.0
bird1.png,0.0,-5.0
bird10.png,0.8,3.3163608827923983
bird2.png,0.0,-5.0
bird3.png,0.0,-5.0
bird4.png,0.0,-5.0
bird5.png,1.0,5.0
bird6.png,0.0,-5.0
bird7.png,0.0,-5.0
bird8.png,0.0,-5.0
bird9.png,1.0,5.0
boat1.png,1.0,5.0
boat10.png,0.0,-5.0
boat2.png,1.0,5.0
boat3.png,0.0,-5.0
boat4.png,1.0,5.0
boat5.png,0.0,-5.0
boat6.png,1.0,5.0
boat7.png,1.0,5.0
boat8.png,1.0,5.0
boat9.png,0.0,-5.0
bottle1.png,1.0,5.0
bottle10.png,1.0,5.0
bottle2.png,1.0,5.0
bottle3.png,1.0,5.0
bottle4.png,1.0,5.0
bottle5.png,1.0,5.0
bottle6.png,1.0,5.0
bottle7.png,1.0,5.0
bottle8.png,1.0,5.0
bottle9.png,1.0,5.0
car1.png,1.0,5.0
car10.png,1.0,5.0
car2.png,0.0,-5.0
car3.png,1.0,5.0
car4.png,1.0,5.0
car5.png,0.0,-5.0
car6.png,0.7,2.2093412805799555
car7.png,0.0,-5.0
car8.png,0.4,1.4315936647361152
car9.png,1.0,5.0
cat1.png,0.4,0.8986230622734794
cat10.png,1.0,5.0
cat2.png,1.0,5.0
cat3.png,1.0,5.0
cat4.png,0.5,1.151970165409279
cat5.png,1.0,5.0
cat6.png,1.0,5.0
cat7.png,1.0,5.0
cat8.png,0.0,-5.0
cat9.png,1.0,5.0
chair1.png,1.0,5.0
chair10.png,1.0,5.0
chair2.png,1.0,5.0
chair3.png,1.0,5.0
chair4.png,1.0,5.0
chair5.png,0.0,-5.0
chair6.png,1.0,5.0
chair7.png,1.0,5.0
chair8.png,1.0,5.0
chair9.png,0.0,-5.0
clock1.png,0.5,2.474739649219484
clock10.png,0.0,-5.0
clock2.png,1.0,5.0
clock3.png,1.0,5.0
clock4.png,1.0,5.0
clock5.png,1.0,5.0
clock6.png,1.0,5.0
clock7.png,0.0,-5.0
clock8.png,1.0,5.0
clock9.png,1.0,5.0
dog1.png,1.0,5.0
dog10.png,0.0,-5.0
dog2.png,0.0,-5.0
dog3.png,0.1,0.7586190702648503
dog4.png,0.0,-5.0
dog5.png,0.0,-5.0
dog6.png,0.5,2.0401706358094507
dog7.png,0.3,1.5157701231014098
dog8.png,0.0,-5.0
dog9.png,0.0,-5.0
elephant1.png,1.0,5.0
elephant10.png,0.0,-5.0
elephant2.png,1.0,5.0
elephant3.png,1.0,5.0
elephant4.png,0.2,0.7595755847519204
elephant5.png,1.0,5.0
elephant6.png,0.0,-5.0
elephant7.png,0.0,-5.0
elephant8.png,0.4,1.347849715189035
elephant9.png,0.5,1.6011968183248346
keyboard1.png,1.0,5.0
keyboard10.png,1.0,5.0
keyboard2.png,0.0,-5.0
keyboard3.png,0.2,1.355665143068138
keyboard4.png,1.0,5.0
keyboard5.png,1.0,5.0
keyboard6.png,1.0,5.0
keyboard7.png,1.0,5.0
keyboard8.png,0.0,-5.0
keyboard9.png,1.0,5.0
knife1.png,1.0,5.0
knife10.png,0.3,1.8845150331074203
knife2.png,1.0,5.0
knife3.png,1.0,5.0
knife4.png,1.0,5.0
knife5.png,0.0,-5.0
knife6.png,0.0,-5.0
knife7.png,0.0,-5.0
knife8.png,1.0,5.0
knife9.png,1.0,5.0
oven1.png,0.0,-5.0
oven10.png,0.2,1.2404788016864332
oven2.png,0.0,-5.0
oven3.png,1.0,5.0
oven4.png,0.1,0.8005484697147471
oven5.png,0.2,1.2404788016864332
oven6.png,0.9,3.363651600803948
oven7.png,0.0,-5.0
oven8.png,0.8,2.923721268832262
oven9.png,0.4,1.8287529321235478
truck1.png,1.0,5.0
truck10.png,0.0,0.0
truck2.png,1.0,5.0
truck3.png,1.0,5.0
truck4.png,0.9,5.0
truck5.png,1.0,5.0
truck6.png,0.8,5.0
truck7.png,0.0,0.0
truck8.png,0.0,0.0
truck9.png,1.0,5.0
