,accuracy,dprime
airplane1.png,0.30000000000000004,3.0
airplane10.png,0.30000000000000004,3.0
airplane2.png,-0.7,-7.0
airplane3.png,0.30000000000000004,3.0
airplane4.png,0.30000000000000004,3.0
airplane5.png,0.30000000000000004,3.0
airplane6.png,0.30000000000000004,3.0
airplane7.png,-0.7,-7.0
airplane8.png,0.30000000000000004,3.0
airplane9.png,-0.7,-7.0
bear1.png,-0.33999999999999997,-4.1861877193379184
bear10.png,-0.33999999999999997,-4.1861877193379184
bear2.png,-0.23999999999999996,1.3661753509333954
bear3.png,-0.03999999999999998,2.123326403769955
bear4.png,-0.33999999999999997,-4.1861877193379184
bear5.png,0.66,5.8138122806620816
bear6.png,-0.33999999999999997,-4.1861877193379184
bear7.png,0.66,5.8138122806620816
bear8.png,-0.33999999999999997,-4.1861877193379184
bear9.png,0.66,5.8138122806620816
bicycle1.png,0.0,0.0
bicycle10.png,0.0,0.0
bicycle2.png,0.0,0.0
bicycle3.png,0.0,0.0
bicycle4.png,0.0,0.0
bicycle5.png,0.0,0.0
bicycle6.png,0.0,0.0
bicycle7.png,0.0,0.0
bicycle8.png,0.0,0.0
bicycle9.png,0.0,0.0
bird1.png,-0.2,-2.0
bird10.png,-0.2,-2.0
bird2.png,-0.2,-2.0
bird3.png,0.8,8.0
bird4.png,-0.2,-2.0
bird5.png,-0.2,-2.0
bird6.png,-0.2,-2.0
bird7.png,0.8,8.0
bird8.png,-0.2,-2.0
bird9.png,-0.2,-2.0
boat1.png,0.30000000000000004,3.0
boat10.png,-0.7,-7.0
boat2.png,0.30000000000000004,3.0
boat3.png,-0.7,-7.0
boat4.png,0.30000000000000004,3.0
boat5.png,0.30000000000000004,3.0
boat6.png,0.30000000000000004,3.0
boat7.png,-0.7,-7.0
boat8.png,0.30000000000000004,3.0
boat9.png,0.30000000000000004,3.0
bottle1.png,0.09999999999999998,1.0
bottle10.png,-0.9,-9.0
bottle2.png,0.09999999999999998,1.0
bottle3.png,0.09999999999999998,1.0
bottle4.png,0.09999999999999998,1.0
bottle5.png,0.09999999999999998,1.0
bottle6.png,0.09999999999999998,1.0
bottle7.png,0.09999999999999998,1.0
bottle8.png,0.09999999999999998,1.0
bottle9.png,0.09999999999999998,1.0
car1.png,-0.7,-7.0
car10.png,0.30000000000000004,3.0
car2.png,0.30000000000000004,3.0
car3.png,0.30000000000000004,3.0
car4.png,0.30000000000000004,3.0
car5.png,-0.7,-7.0
car6.png,0.30000000000000004,3.0
car7.png,-0.7,-7.0
car8.png,0.30000000000000004,3.0
car9.png,0.30000000000000004,3.0
cat1.png,0.19999999999999996,2.0
cat10.png,0.19999999999999996,2.0
cat2.png,0.19999999999999996,2.0
cat3.png,0.19999999999999996,2.0
cat4.png,-0.8,-8.0
cat5.png,0.19999999999999996,2.0
cat6.png,0.19999999999999996,2.0
cat7.png,0.19999999999999996,2.0
cat8.png,-0.8,-8.0
