,accuracy,dprime
airplane,0.54,2.154182631143293
bear,0.4,1.5051282204877392
bicycle,0.8,2.2930278563802062
bird,0.29,1.117893853513738
boat,0.6900000000000001,2.5927777765117956
bottle,0.9,3.7562912147640843
car,0.72,2.435021366040263
cat,0.52,1.7080749775251025
chair,0.8,5.0
clock,0.61,2.791463362377916
dog,0.11000000000000001,0.8411886219294631
elephant,0.25,1.1505170709503214
keyboard,1.0,5.0
knife,0.6900000000000001,2.9047658931629146
oven,0.6599999999999999,2.452633765250855
truck,0.89,3.117211168280522
