,accuracy,dprime
airplane,1.0,5.0
bear,0.5,1.7991181068379674
bicycle,0.9800000000000001,5.0
bird,0.72,2.6365904179030393
boat,0.5800000000000001,2.3808710652031015
bottle,1.0,5.0
car,0.89,2.9114688879085255
cat,0.45999999999999996,2.1566955239747556
chair,1.0,5.0
clock,0.6799999999999999,2.9424384483339923
dog,0.6900000000000001,2.712213126571852
elephant,0.6799999999999999,2.5214477097463313
keyboard,0.78,2.492738698018486
knife,0.9099999999999999,3.749670579505677
oven,0.4,1.6576885444133183
truck,0.45999999999999996,1.7517461382575767
