,accuracy,dprime
airplane,0.7743802818655967,2.944803136216253
bear,0.47808684183284633,1.701082572180331
bicycle,0.9283970922231676,3.9420666583098125
bird,0.49940965406596655,1.8727998016024767
boat,0.40538952391594646,1.6216530600012828
bottle,0.953973331451416,4.154424291058434
car,0.44387634441256524,1.461038453696843
cat,0.536631510965526,1.9032079399902933
chair,0.7662716135382652,2.8002481574634954
clock,0.5631717038899661,2.2199265445300416
dog,0.541913225799799,1.9682110946771687
elephant,0.46572690626606345,1.8253177097335445
keyboard,0.5513041530549526,1.861405792199619
knife,0.6133987474441527,2.312926836180091
oven,0.3114351882785559,1.2096178393910526
truck,0.32366177134681495,1.391119813548373
