,accuracy,dprime
airplane,0.6671768024563789,2.3164168931634332
bear,0.46108633149415257,1.5756557192421374
bicycle,0.8119806981086732,3.130843477243296
bird,0.45110439881682396,1.6868908614045601
boat,0.2838062203302979,1.1292682054292351
bottle,0.8531072652339935,3.1594625576546065
car,0.24111861720681188,0.8663897887619025
cat,0.43355931974947454,1.565356173568936
chair,0.5860663510113955,2.116768587631458
clock,0.3944439088180661,1.5543287695195558
dog,0.3808759261667728,1.478715107406833
elephant,0.3352508369088173,1.4220847085480703
keyboard,0.33260890178382396,1.195977360584879
knife,0.4770936697721481,1.7670868773536066
oven,0.19016946047544475,0.8052603110545102
truck,0.20503799010068174,0.9026773541001843
