,accuracy,dprime
airplane,0.831214300096035,3.057047811554662
bear,0.4573082585632801,1.5910802506262574
bicycle,0.8727311408519745,3.565010270047532
bird,0.5909646381437779,2.107036058736903
boat,0.3874840812385082,1.4867236237754535
bottle,0.9273204869031906,3.9326212933748206
car,0.42580554574728013,1.5319722397979787
cat,0.5332935838401318,1.943342979151779
chair,0.698899143487215,2.6806632307740914
clock,0.6377318768948317,2.397780897299966
dog,0.5185119053721428,1.9298610231699287
elephant,0.4650466049090028,1.8567272924210063
keyboard,0.4590684233605861,1.6472594102339557
knife,0.5828498131036759,2.0875588273927024
oven,0.26273230515420437,1.0151478554155586
truck,0.31955638312269,1.3081842966919104
