,accuracy,dprime
airplane,0.585,2.062257106748497
bear,0.45,1.7184517016969736
bicycle,0.72375,2.6341887463092117
bird,0.30999999999999994,1.2201243878852406
boat,0.22625,1.0363911165159574
bottle,0.825,2.9798076699655893
car,0.485,1.734760657389588
cat,0.325,1.1775079391677372
chair,0.69375,2.3971911551730227
clock,0.6637500000000001,2.6489311687381876
dog,0.38625000000000004,1.5037243510815086
elephant,0.4575,1.7991391293213879
keyboard,0.45999999999999996,1.6861796449820001
knife,0.55625,1.9280816668756287
oven,0.6,2.169596698309762
truck,0.5762499999999999,2.1138253788262813
