,accuracy,dprime
airplane,0.41031250932952384,1.5349648100698468
bear,0.30002838968910506,1.1428237023694288
bicycle,0.53656426086789,1.955722404413624
bird,0.22836256024718748,0.8978554380894765
boat,0.17375408363077435,0.6611838062681534
bottle,0.6475244534062222,2.3607716193238724
car,0.3455577365009231,1.2483905640224342
cat,0.21027473439637107,0.7674491837861128
chair,0.45136343053891326,1.666244194259454
clock,0.6103380643822446,2.2842270471950172
dog,0.2975220586875366,1.1534271075819866
elephant,0.3423387161864957,1.3295943022948022
keyboard,0.33914595722046215,1.3305266272096228
knife,0.3622262636316008,1.3796188997585666
oven,0.47027070567208284,1.7328010922860875
truck,0.413951714227478,1.548118073182603
