,accuracy,dprime
airplane,0.2307136567682028,0.8839205646398106
bear,0.21801119604147967,0.8600759038256814
bicycle,0.46093344660243024,1.7301251278046879
bird,0.14661888065049422,0.517791725116433
boat,0.1448129880183842,0.5158989486803276
bottle,0.5091929294518195,1.8518194445781362
car,0.21342493874137286,0.8130477969837583
cat,0.18348295709351076,0.6801248997709705
chair,0.343945498940302,1.3205499452906706
clock,0.6377831573272124,2.4292933108843364
dog,0.20226269028382374,0.7791411372530095
elephant,0.20868520872667426,0.8027128520993205
keyboard,0.26383571413578466,1.0342266153633717
knife,0.2156014743680134,0.8062798481655256
oven,0.4558901840058388,1.6744260430638336
truck,0.37759281215607193,1.441469048641933
