,accuracy,dprime
airplane,0.21930822283029552,0.8512265586576033
bear,0.16917766553699037,0.6361050965735233
bicycle,0.43960965808713803,1.6595772264356197
bird,0.17962565080611964,0.657168525727798
boat,0.12310572680435139,0.3787870379914531
bottle,0.45046347563155004,1.6667210602771623
car,0.268522003616672,1.0671429830474413
cat,0.15173751707421615,0.5337748035355485
chair,0.2616649083117954,1.023989392802503
clock,0.6562755670229672,2.4647647584249324
dog,0.18287123365793373,0.6690840229781894
elephant,0.17913531810278072,0.6962345062887951
keyboard,0.18476216351031322,0.7131695774114681
knife,0.22262360677588727,0.8611668251035097
oven,0.404462189823389,1.5116046080188108
truck,0.3053074116818607,1.18513599292073
