,accuracy,dprime
airplane,0.6725000000000001,2.3501377840952236
bear,0.385,1.5668165982450641
bicycle,0.6987500000000001,2.6047373131474427
bird,0.4,1.4307305283401255
boat,0.16875,0.8988999148040974
bottle,0.9112500000000001,3.324387630703815
car,0.41875,1.6243502672847219
cat,0.36875,1.3717734847225982
chair,0.63375,2.365511863859526
clock,0.76875,3.359666933880967
dog,0.36624999999999996,1.3732630018945362
elephant,0.4487500000000001,1.8156952730429
keyboard,0.4375,1.494858825988949
knife,0.53625,1.8986042333374793
oven,0.69875,2.4584527909514655
truck,0.6962499999999999,2.410604425481841
